  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.74    40.18      61.70  0.8802     0.9151  0.1198     0.0849     0.0842         0.0882
      2   3.02    33.03      54.14  0.9469     0.9557  0.0531     0.0443     0.0449         0.0463
      3   3.07    27.03      45.82  0.9535     0.9617  0.0465     0.0383     0.0605         0.0623
      4   3.02    19.58      37.50  0.9469     0.9632  0.0531     0.0368     0.1040         0.1169
      5   3.05    20.99      36.33  0.9527     0.9678  0.0473     0.0322     0.1015         0.1135
      6   3.06    18.48      32.80  0.9551     0.9708  0.0449     0.0292     0.1201         0.1307
      7   3.10    18.31      31.14  0.9629     0.9740  0.0371     0.0260     0.1356         0.1508
      8   3.08    16.62      29.41  0.9601     0.9720  0.0399     0.0280     0.1702         0.1886
      9   3.11    17.85      28.28  0.9676     0.9762  0.0324     0.0238     0.1946         0.2129
     10   3.13    18.12      29.29  0.9688     0.9762  0.0312     0.0238     0.2506         0.2652
     11   3.06    17.36      29.17  0.9561     0.9738  0.0439     0.0262     0.2893         0.3209
     12   3.09    17.12      27.00  0.9630     0.9726  0.0370     0.0274     0.2556         0.2747
     13   3.16    19.01      29.83  0.9767     0.9798  0.0233     0.0202     0.3293         0.3416
     14   3.13    21.88      32.76  0.9709     0.9748  0.0291     0.0252     0.3175         0.3324
     15   3.12    15.57      23.83  0.9702     0.9784  0.0298     0.0216     0.3932         0.4206
     16   3.04    15.07      24.43  0.9547     0.9755  0.0453     0.0245     0.4488         0.5072
     17   3.16    15.31      23.11  0.9744     0.9803  0.0256     0.0197     0.4199         0.4461
     18   3.11    14.89      22.13  0.9683     0.9776  0.0317     0.0224     0.4044         0.4315
     19   3.07    15.06      21.58  0.9642     0.9747  0.0358     0.0253     0.4495         0.4851
     20   3.07    13.66      20.78  0.9620     0.9784  0.0380     0.0216     0.4729         0.5370
     21   3.10    13.53      20.31  0.9691     0.9789  0.0309     0.0211     0.5264         0.5707
     22   3.17    17.66      26.27  0.9788     0.9819  0.0212     0.0181     0.5151         0.5333
     23   3.00    14.78      21.41  0.9602     0.9667  0.0398     0.0333     0.4870         0.5113
     24   3.15    15.55      21.64  0.9785     0.9834  0.0215     0.0166     0.4953         0.5185
     25   3.11    14.09      19.21  0.9729     0.9809  0.0271     0.0191     0.5055         0.5355
     26   3.15    16.91      24.72  0.9789     0.9816  0.0211     0.0184     0.5466         0.5602
     27   3.14    14.81      20.31  0.9778     0.9822  0.0222     0.0178     0.5088         0.5329
     28   3.12    12.58      17.97  0.9723     0.9811  0.0277     0.0189     0.5317         0.5708
     29   3.13    13.87      18.84  0.9751     0.9811  0.0249     0.0189     0.5306         0.5637
     30   3.10    12.54      17.24  0.9683     0.9817  0.0317     0.0183     0.5232         0.5647
     31   3.14    13.93      19.42  0.9778     0.9820  0.0222     0.0180     0.5708         0.5921
     32   3.12    14.18      19.38  0.9747     0.9792  0.0253     0.0208     0.5055         0.5246
     33   3.06    12.56      17.68  0.9671     0.9749  0.0329     0.0251     0.4826         0.5099
     34   3.11    12.83      16.79  0.9724     0.9799  0.0276     0.0201     0.4879         0.5191
     35   3.16    13.94      19.15  0.9804     0.9848  0.0196     0.0152     0.5110         0.5322
     36   3.14    13.38      18.47  0.9791     0.9830  0.0209     0.0170     0.5158         0.5343
     37   3.13    12.52      16.82  0.9779     0.9825  0.0221     0.0175     0.4784         0.5089
     38   3.14    11.60      15.80  0.9775     0.9840  0.0225     0.0160     0.5170         0.5472
     39   3.11    11.62      15.88  0.9738     0.9828  0.0262     0.0172     0.4757         0.5041
     40   3.13    11.87      15.58  0.9747     0.9835  0.0253     0.0165     0.4731         0.5049
     41   3.09    11.76      15.30  0.9713     0.9798  0.0287     0.0202     0.4332         0.4613
     42   3.13    12.55      16.71  0.9795     0.9826  0.0205     0.0174     0.4101         0.4239
     43   3.12    10.76      14.85  0.9757     0.9845  0.0243     0.0155     0.4850         0.5120
     44   3.08    11.00      14.77  0.9721     0.9811  0.0279     0.0189     0.4270         0.4558
     45   3.08    10.53      14.39  0.9687     0.9803  0.0313     0.0197     0.4556         0.4892
     46   3.08    11.14      14.57  0.9730     0.9814  0.0270     0.0186     0.4019         0.4290
     47   3.12    12.10      17.11  0.9778     0.9818  0.0222     0.0182     0.4079         0.4204
     48   3.15    12.37      16.83  0.9793     0.9844  0.0207     0.0156     0.4163         0.4291
     49   3.11    10.68      14.20  0.9731     0.9819  0.0269     0.0181     0.4491         0.4762
     50   3.11    11.31      15.85  0.9791     0.9824  0.0209     0.0176     0.4073         0.4242
