  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1  -0.40    17.98      36.27  0.2194     0.3273  0.7806     0.6727     0.1877         0.2292
      2   0.94    10.09      31.67  0.4301     0.5513  0.5699     0.4487     0.1888         0.2056
      3   1.20     7.07      21.08  0.4883     0.6242  0.5117     0.3758     0.2006         0.2211
      4   1.57     9.56      25.71  0.5923     0.6986  0.4077     0.3014     0.1641         0.1667
      5   1.32     6.26      19.22  0.5289     0.6857  0.4711     0.3143     0.2218         0.2320
      6   1.48     6.94      19.77  0.5567     0.7104  0.4433     0.2896     0.2100         0.2215
      7   1.70     6.58      15.73  0.6081     0.7509  0.3919     0.2491     0.2115         0.2166
      8   2.00     8.26      19.05  0.6981     0.8042  0.3019     0.1958     0.1447         0.1459
      9   2.12     7.99      17.18  0.7327     0.8334  0.2673     0.1666     0.1420         0.1426
     10   2.02     6.72      13.94  0.7079     0.8327  0.2921     0.1673     0.1789         0.1813
     11   2.07     6.63      13.01  0.7235     0.8505  0.2765     0.1495     0.1730         0.1750
     12   2.26     8.17      15.34  0.7719     0.8753  0.2281     0.1247     0.1364         0.1383
     13   2.11     6.78      12.56  0.7322     0.8607  0.2678     0.1393     0.1950         0.1990
     14   1.89     7.69      16.50  0.6737     0.8452  0.3263     0.1548     0.2423         0.2561
     15   2.47    10.10      20.46  0.8348     0.9081  0.1652     0.0919     0.1214         0.1207
     16   2.43     7.82      13.56  0.8169     0.9094  0.1831     0.0906     0.1433         0.1440
     17   2.17     7.42      13.66  0.7464     0.8940  0.2536     0.1060     0.2129         0.2232
     18   2.46     7.36      11.74  0.8189     0.9179  0.1811     0.0821     0.1602         0.1629
     19   2.32     6.66      10.67  0.7883     0.9130  0.2117     0.0870     0.1915         0.1990
     20   2.26     6.62      10.47  0.7716     0.9036  0.2284     0.0964     0.2089         0.2205
     21   2.25     6.97      11.85  0.7685     0.9080  0.2315     0.0920     0.2310         0.2452
     22   2.54     7.53      11.33  0.8437     0.9288  0.1563     0.0712     0.1808         0.1909
     23   2.51     6.80      10.33  0.8311     0.9314  0.1689     0.0686     0.2067         0.2214
     24   2.68     8.55      12.54  0.8773     0.9450  0.1227     0.0550     0.1687         0.1758
     25   2.48     6.65       9.52  0.8233     0.9298  0.1767     0.0702     0.2262         0.2490
     26   2.46     6.71       9.27  0.8228     0.9324  0.1772     0.0676     0.2391         0.2633
     27   2.68     8.25      12.86  0.8788     0.9463  0.1212     0.0537     0.1883         0.1982
     28   2.37     6.89       9.99  0.8014     0.9238  0.1986     0.0762     0.2522         0.2801
     29   2.71     8.20      11.36  0.8833     0.9459  0.1167     0.0541     0.2212         0.2356
     30   2.60     6.81       9.38  0.8552     0.9416  0.1448     0.0584     0.2540         0.2733
     31   2.66     7.57      10.47  0.8692     0.9413  0.1308     0.0587     0.2604         0.2771
     32   2.70     7.84      10.19  0.8847     0.9497  0.1153     0.0503     0.2674         0.2846
     33   2.52     6.48       8.44  0.8370     0.9375  0.1630     0.0625     0.2854         0.3153
     34   2.60     6.53       8.47  0.8543     0.9489  0.1457     0.0511     0.2896         0.3181
     35   2.63     6.87       9.71  0.8629     0.9409  0.1371     0.0591     0.2926         0.3186
     36   2.67     6.80       8.61  0.8709     0.9546  0.1291     0.0454     0.3156         0.3426
     37   2.69     6.85       8.94  0.8785     0.9531  0.1215     0.0469     0.3120         0.3394
     38   2.66     6.58       8.43  0.8719     0.9550  0.1281     0.0450     0.3115         0.3333
     39   2.64     6.49       8.09  0.8628     0.9540  0.1372     0.0460     0.3440         0.3762
     40   2.60     6.83       8.35  0.8563     0.9506  0.1437     0.0494     0.3494         0.3901
     41   2.72     6.30       8.12  0.8821     0.9557  0.1179     0.0443     0.3116         0.3464
     42   2.69     6.25       7.86  0.8714     0.9577  0.1286     0.0423     0.3512         0.3881
     43   2.74     6.47       8.05  0.8871     0.9638  0.1129     0.0362     0.3290         0.3606
     44   2.58     6.03       7.47  0.8524     0.9568  0.1476     0.0432     0.3611         0.4007
     45   2.70     5.77       7.34  0.8771     0.9595  0.1229     0.0405     0.3417         0.3739
     46   2.80     6.28       8.17  0.9030     0.9671  0.0970     0.0329     0.3420         0.3704
     47   2.81     6.36       7.73  0.9057     0.9726  0.0943     0.0274     0.3873         0.4245
     48   2.74     5.91       7.32  0.8886     0.9669  0.1114     0.0331     0.3555         0.3873
     49   2.74     5.74       7.22  0.8873     0.9670  0.1127     0.0330     0.3418         0.3747
     50   2.77     5.76       7.51  0.8958     0.9663  0.1042     0.0337     0.3595         0.3897
     51   2.84     6.66       8.87  0.9119     0.9719  0.0881     0.0281     0.3257         0.3518
     52   2.76     5.60       7.03  0.8898     0.9687  0.1102     0.0313     0.3002         0.3370
     53   2.78     5.52       7.13  0.8985     0.9719  0.1015     0.0281     0.3335         0.3635
     54   2.77     5.61       7.04  0.8966     0.9698  0.1034     0.0302     0.3301         0.3668
     55   2.82     5.51       7.09  0.9053     0.9741  0.0947     0.0259     0.3505         0.3822
     56   2.79     5.50       6.92  0.8973     0.9734  0.1027     0.0266     0.3309         0.3617
     57   2.79     5.33       6.89  0.8974     0.9734  0.1026     0.0266     0.3326         0.3667
     58   2.88     5.59       7.50  0.9198     0.9768  0.0802     0.0232     0.3689         0.4010
     59   2.87     5.49       7.10  0.9165     0.9782  0.0835     0.0218     0.3637         0.3945
     60   2.80     5.09       6.67  0.9057     0.9717  0.0943     0.0283     0.3514         0.3925
     61   2.87     5.43       7.15  0.9207     0.9747  0.0793     0.0253     0.3294         0.3587
     62   2.86     5.15       6.90  0.9170     0.9738  0.0830     0.0262     0.3787         0.4176
     63   2.86     5.25       6.73  0.9172     0.9775  0.0828     0.0225     0.3787         0.4159
     64   2.89     5.41       6.93  0.9220     0.9766  0.0780     0.0234     0.3851         0.4134
     65   2.86     5.21       6.91  0.9144     0.9745  0.0856     0.0255     0.3895         0.4239
     66   2.83     4.82       6.46  0.9092     0.9745  0.0908     0.0255     0.3829         0.4215
     67   2.88     5.08       6.67  0.9201     0.9765  0.0799     0.0235     0.3701         0.4018
     68   2.88     5.00       6.61  0.9163     0.9784  0.0837     0.0216     0.3338         0.3662
     69   2.84     5.01       6.48  0.9128     0.9768  0.0872     0.0232     0.3436         0.3742
     70   2.88     4.95       6.47  0.9171     0.9767  0.0829     0.0233     0.3588         0.3916
     71   2.90     5.19       6.85  0.9260     0.9777  0.0740     0.0223     0.3703         0.4042
     72   2.84     4.92       6.49  0.9141     0.9747  0.0859     0.0253     0.4146         0.4518
     73   2.90     5.07       6.64  0.9274     0.9787  0.0726     0.0213     0.3881         0.4172
     74   2.86     4.82       6.28  0.9165     0.9784  0.0835     0.0216     0.4295         0.4665
     75   2.84     4.80       6.27  0.9133     0.9753  0.0867     0.0247     0.3799         0.4187
     76   2.92     5.48       7.20  0.9323     0.9786  0.0677     0.0214     0.3780         0.4032
