  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1  -1.21    10.02      29.79  0.1005     0.1043  0.8995     0.8957     0.1096         0.1073
      2  -1.14     2.43      26.35  0.1018     0.0955  0.8982     0.9045     0.1095         0.1129
      3  -0.22     6.53      31.62  0.1038     0.1035  0.8962     0.8965     0.1074         0.1101
      4  -0.30     1.60      13.20  0.1080     0.0999  0.8920     0.9001     0.1083         0.0973
      5  -0.29     1.06      10.07  0.1030     0.1012  0.8970     0.8988     0.1011         0.1086
      6  -0.21     0.58       9.10  0.1059     0.1049  0.8941     0.8951     0.0996         0.0998
      7  -0.09     2.05      14.10  0.1011     0.0999  0.8989     0.9001     0.1100         0.1062
      8  -0.15     1.61      10.25  0.0970     0.1106  0.9030     0.8894     0.1084         0.1082
      9  -0.08     0.95       6.95  0.1003     0.0983  0.8997     0.9017     0.1045         0.1128
     10  -0.04     2.92      14.62  0.1026     0.1110  0.8974     0.8890     0.1052         0.1080
     11  -0.02     1.47       9.48  0.1029     0.1061  0.8971     0.8939     0.1016         0.1112
     12  -0.02     0.82       7.14  0.0995     0.1122  0.9005     0.8878     0.1076         0.1095
     13  -0.02     0.42       5.38  0.1054     0.1083  0.8946     0.8917     0.1071         0.1107
     14  -0.01     1.70       9.22  0.1065     0.1108  0.8935     0.8892     0.1096         0.1111
     15  -0.01     0.41       4.81  0.1095     0.1142  0.8905     0.8858     0.1062         0.1131
     16  -0.01     0.99       5.69  0.1035     0.1078  0.8965     0.8922     0.1039         0.1110
     17  -0.00     0.44       4.39  0.1042     0.1140  0.8958     0.8860     0.1116         0.1157
     18  -0.00     0.72       6.32  0.1023     0.1129  0.8977     0.8871     0.1143         0.1153
     19  -0.00     0.71       5.78  0.1087     0.1127  0.8913     0.8873     0.1103         0.1125
     20  -0.00     0.51       4.51  0.1070     0.1132  0.8930     0.8868     0.1132         0.1139
     21  -0.00     0.28       3.80  0.1112     0.1140  0.8888     0.8860     0.1138         0.1140
     22   0.00     0.46       4.17  0.1081     0.1135  0.8919     0.8865     0.1109         0.1136
     23  -0.00     0.51       4.43  0.1111     0.1133  0.8889     0.8867     0.1100         0.1131
     24   0.00     0.26       3.26  0.1127     0.1135  0.8873     0.8865     0.1121         0.1136
