  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.13   834.93     507.12  0.9591     0.9593  0.0409     0.0407     0.0186         0.0185
      2   3.11   696.58     431.00  0.9549     0.9547  0.0451     0.0453     0.0267         0.0268
      3   3.20   622.98     385.36  0.9726     0.9729  0.0274     0.0271     0.0135         0.0135
      4   3.20   544.12     339.25  0.9728     0.9733  0.0272     0.0267     0.0174         0.0175
      5   3.21   516.92     317.47  0.9775     0.9779  0.0225     0.0221     0.0171         0.0172
      6   3.22   483.60     304.37  0.9773     0.9773  0.0227     0.0227     0.0257         0.0254
      7   3.19   475.82     304.09  0.9740     0.9744  0.0260     0.0256     0.0460         0.0461
      8   3.22   468.57     283.90  0.9801     0.9800  0.0199     0.0200     0.0403         0.0404
      9   3.22   390.13     276.85  0.9800     0.9806  0.0200     0.0194     0.0643         0.0689
     10   3.21   409.05     267.38  0.9776     0.9781  0.0224     0.0219     0.0554         0.0584
     11   3.22   373.85     254.45  0.9824     0.9823  0.0176     0.0177     0.0944         0.0990
     12   3.15   397.20     250.11  0.9688     0.9689  0.0312     0.0311     0.1028         0.1055
     13   3.22   319.70     239.39  0.9821     0.9819  0.0179     0.0181     0.0897         0.0978
     14   3.21   326.37     235.00  0.9803     0.9803  0.0197     0.0197     0.1103         0.1191
     15   3.20   283.01     229.64  0.9796     0.9796  0.0204     0.0204     0.1121         0.1234
     16   3.20   308.06     237.07  0.9810     0.9808  0.0190     0.0192     0.1033         0.1113
     17   3.22   286.26     223.76  0.9813     0.9814  0.0187     0.0186     0.1406         0.1620
     18   3.21   328.37     233.81  0.9795     0.9796  0.0205     0.0204     0.0843         0.0913
     19   3.19   271.47     215.49  0.9767     0.9767  0.0233     0.0233     0.1229         0.1366
     20   3.20   269.34     216.55  0.9798     0.9794  0.0202     0.0206     0.1624         0.1820
     21   3.22   249.85     207.60  0.9835     0.9834  0.0165     0.0166     0.1557         0.1791
     22   3.22   267.93     213.94  0.9822     0.9823  0.0178     0.0177     0.1176         0.1362
     23   3.21   245.64     208.34  0.9810     0.9810  0.0190     0.0190     0.1145         0.1358
     24   3.21   257.50     205.29  0.9816     0.9816  0.0184     0.0184     0.1620         0.1896
     25   3.19   245.46     199.19  0.9787     0.9787  0.0213     0.0213     0.1314         0.1487
     26   3.23   228.18     199.35  0.9860     0.9858  0.0140     0.0142     0.1934         0.2311
     27   3.18   234.91     197.43  0.9785     0.9786  0.0215     0.0214     0.1389         0.1616
     28   3.22   208.43     191.94  0.9845     0.9848  0.0155     0.0152     0.1897         0.2292
     29   3.21   224.07     189.66  0.9817     0.9819  0.0183     0.0181     0.1644         0.1919
     30   3.22   257.87     188.94  0.9841     0.9844  0.0159     0.0156     0.1202         0.1350
     31   3.22   239.61     184.21  0.9845     0.9844  0.0155     0.0156     0.1141         0.1341
     32   3.23   219.59     178.79  0.9853     0.9851  0.0147     0.0149     0.1576         0.1850
     33   3.23   197.03     172.77  0.9855     0.9855  0.0145     0.0145     0.1544         0.1840
     34   3.22   220.75     175.24  0.9832     0.9834  0.0168     0.0166     0.1382         0.1579
     35   3.22   194.94     166.83  0.9845     0.9845  0.0155     0.0155     0.1449         0.1704
     36   3.23   192.40     162.90  0.9862     0.9858  0.0138     0.0142     0.1162         0.1378
     37   3.23   196.86     161.94  0.9855     0.9855  0.0145     0.0145     0.1082         0.1301
     38   3.21   197.58     162.06  0.9833     0.9833  0.0167     0.0167     0.1434         0.1687
     39   3.22   176.88     159.00  0.9856     0.9856  0.0144     0.0144     0.1666         0.2082
     40   3.22   163.60     153.68  0.9861     0.9860  0.0139     0.0140     0.1805         0.2181
     41   3.16   179.60     153.54  0.9789     0.9787  0.0211     0.0213     0.1381         0.1610
     42   3.21   179.62     148.00  0.9835     0.9834  0.0165     0.0166     0.1498         0.1839
     43   3.23   160.46     144.09  0.9858     0.9858  0.0142     0.0142     0.1630         0.2052
     44   3.21   161.96     145.34  0.9839     0.9837  0.0161     0.0163     0.1367         0.1779
     45   3.23   153.13     139.56  0.9866     0.9867  0.0134     0.0133     0.1580         0.2022
     46   3.22   153.66     142.62  0.9847     0.9846  0.0153     0.0154     0.1450         0.1833
     47   3.22   142.63     133.58  0.9865     0.9867  0.0135     0.0133     0.1477         0.1821
     48   3.23   128.30     126.22  0.9873     0.9872  0.0127     0.0128     0.1451         0.1788
     49   3.23   184.15     137.30  0.9847     0.9849  0.0153     0.0151     0.1036         0.1209
     50   3.22   195.89     147.22  0.9825     0.9825  0.0175     0.0175     0.0556         0.0599
     51   3.22   152.57     133.09  0.9852     0.9852  0.0148     0.0148     0.1489         0.1777
     52   3.22   166.16     133.51  0.9847     0.9848  0.0153     0.0152     0.1106         0.1289
     53   3.23   135.52     125.00  0.9869     0.9869  0.0131     0.0131     0.1548         0.1878
     54   3.21   165.86     130.89  0.9832     0.9833  0.0168     0.0167     0.1132         0.1296
     55   3.23   150.02     127.70  0.9865     0.9869  0.0135     0.0131     0.1484         0.1818
     56   3.22   159.89     130.13  0.9846     0.9848  0.0154     0.0152     0.1088         0.1222
     57   3.21   155.65     129.62  0.9842     0.9843  0.0158     0.0157     0.1175         0.1349
     58   3.22   140.12     122.80  0.9850     0.9849  0.0150     0.0151     0.1635         0.1934
     59   3.21   132.13     123.24  0.9840     0.9839  0.0160     0.0161     0.1558         0.1879
     60   3.23   141.10     115.14  0.9868     0.9868  0.0132     0.0132     0.1354         0.1596
     61   3.23   111.08     111.20  0.9874     0.9873  0.0126     0.0127     0.1827         0.2225
     62   3.23   105.20     106.90  0.9872     0.9868  0.0128     0.0132     0.1715         0.2072
     63   3.23   108.06     110.68  0.9862     0.9862  0.0138     0.0138     0.1775         0.2122
     64   3.22   131.52     116.11  0.9848     0.9851  0.0152     0.0149     0.1448         0.1702
     65   3.22   124.24     114.34  0.9859     0.9859  0.0141     0.0141     0.1627         0.1892
     66   3.21   132.54     113.38  0.9840     0.9839  0.0160     0.0161     0.1169         0.1372
     67   3.21   161.89     118.04  0.9833     0.9835  0.0167     0.0165     0.0991         0.1109
     68   3.23   115.27     110.09  0.9865     0.9866  0.0135     0.0134     0.1805         0.2102
     69   3.23   110.70     111.08  0.9873     0.9876  0.0127     0.0124     0.1791         0.2102
     70   3.21   126.99     110.63  0.9848     0.9849  0.0152     0.0151     0.1657         0.1973
     71   3.23   124.53     107.46  0.9863     0.9866  0.0137     0.0134     0.1685         0.1967
     72   3.22   104.62     104.52  0.9873     0.9872  0.0127     0.0128     0.1842         0.2159
     73   3.20   133.21     106.07  0.9833     0.9842  0.0167     0.0158     0.1366         0.1561
     74   3.23   114.54     103.95  0.9868     0.9871  0.0132     0.0129     0.1474         0.1743
     75   3.22   109.12     104.48  0.9862     0.9864  0.0138     0.0136     0.1882         0.2148
     76   3.22    97.34     102.72  0.9870     0.9874  0.0130     0.0126     0.2117         0.2544
     77   3.23    92.26      98.65  0.9881     0.9881  0.0119     0.0119     0.2111         0.2512
     78   3.21   107.90      96.60  0.9861     0.9866  0.0139     0.0134     0.1565         0.1788
     79   3.22   115.97     103.46  0.9860     0.9858  0.0140     0.0142     0.1636         0.1901
     80   3.22   102.07      99.24  0.9872     0.9876  0.0128     0.0124     0.1974         0.2401
     81   3.22    97.57      98.71  0.9869     0.9862  0.0131     0.0138     0.2129         0.2575
     82   3.22    90.81      96.10  0.9870     0.9870  0.0130     0.0130     0.2117         0.2594
     83   3.23    90.70      92.95  0.9877     0.9880  0.0123     0.0120     0.2103         0.2476
     84   3.19   170.04     122.35  0.9826     0.9824  0.0174     0.0176     0.1246         0.1365
     85   3.21   112.57      97.61  0.9861     0.9861  0.0139     0.0139     0.1753         0.2089
     86   3.22    93.59      95.75  0.9878     0.9880  0.0122     0.0120     0.2187         0.2625
     87   3.23    87.64      93.84  0.9874     0.9873  0.0126     0.0127     0.2324         0.2767
     88   3.23    82.18      92.26  0.9879     0.9878  0.0121     0.0122     0.2347         0.2767
     89   3.23    77.78      90.19  0.9883     0.9883  0.0117     0.0117     0.2363         0.2803
     90   3.22    76.17      89.48  0.9870     0.9870  0.0130     0.0130     0.2455         0.2850
     91   3.22    76.16      87.83  0.9880     0.9878  0.0120     0.0122     0.2363         0.2773
     92   3.21   120.33      98.67  0.9855     0.9855  0.0145     0.0145     0.1506         0.1728
     93   3.22    86.44      92.39  0.9879     0.9871  0.0121     0.0129     0.2276         0.2748
     94   3.22    86.63      92.03  0.9877     0.9876  0.0123     0.0124     0.2119         0.2522
     95   3.22    84.87      92.18  0.9878     0.9878  0.0122     0.0122     0.2273         0.2666
     96   3.22    77.00      89.17  0.9872     0.9874  0.0128     0.0126     0.2459         0.2876
     97   3.22    73.06      86.85  0.9881     0.9881  0.0119     0.0119     0.2596         0.3039
     98   3.21   129.96      90.56  0.9862     0.9865  0.0138     0.0135     0.1588         0.1809
     99   3.21    85.08      89.19  0.9864     0.9864  0.0136     0.0136     0.2340         0.2806
    100   3.22    78.74      88.64  0.9866     0.9864  0.0134     0.0136     0.2551         0.3020
    101   3.22    75.32      86.33  0.9876     0.9874  0.0124     0.0126     0.2521         0.2979
    102   3.21    83.57      86.39  0.9860     0.9858  0.0140     0.0142     0.2570         0.3075
    103   3.21    73.06      87.50  0.9863     0.9866  0.0137     0.0134     0.2854         0.3305
    104   3.21    81.22      87.62  0.9878     0.9879  0.0122     0.0121     0.2549         0.2891
    105   3.21    66.73      85.67  0.9872     0.9868  0.0128     0.0132     0.2918         0.3405
    106   3.22    70.36      83.23  0.9867     0.9873  0.0133     0.0127     0.2713         0.3127
    107   3.18   101.91      98.45  0.9832     0.9833  0.0168     0.0167     0.2493         0.2834
    108   3.20    92.76      88.28  0.9848     0.9843  0.0152     0.0157     0.2353         0.2728
    109   3.21    79.58      87.52  0.9860     0.9862  0.0140     0.0138     0.2773         0.3266
    110   3.21    71.83      85.65  0.9867     0.9866  0.0133     0.0134     0.3037         0.3509
    111   3.21    83.61      88.94  0.9864     0.9858  0.0136     0.0142     0.2756         0.3110
    112   3.20    73.43      85.21  0.9853     0.9853  0.0147     0.0147     0.2886         0.3381
    113   3.21    96.30      89.62  0.9863     0.9863  0.0137     0.0137     0.2250         0.2480
    114   3.21    70.06      82.99  0.9864     0.9863  0.0136     0.0137     0.2879         0.3313
    115   3.22    81.64      86.14  0.9873     0.9871  0.0127     0.0129     0.2681         0.3112
    116   3.21    67.20      82.92  0.9874     0.9875  0.0126     0.0125     0.2980         0.3554
    117   3.20    76.56      83.26  0.9857     0.9856  0.0143     0.0144     0.2839         0.3281
    118   3.21    65.76      82.21  0.9868     0.9867  0.0132     0.0133     0.3144         0.3749
    119   3.21    65.70      80.38  0.9869     0.9873  0.0131     0.0127     0.3209         0.3756
    120   3.21    63.53      79.91  0.9875     0.9878  0.0125     0.0122     0.3149         0.3655
    121   3.21    74.99      85.65  0.9869     0.9868  0.0131     0.0132     0.2681         0.3154
    122   3.21    65.23      81.64  0.9859     0.9860  0.0141     0.0140     0.3047         0.3576
    123   3.21    60.70      79.62  0.9879     0.9884  0.0121     0.0116     0.3211         0.3777
    124   3.21    62.74      78.02  0.9877     0.9876  0.0123     0.0124     0.3035         0.3475
    125   3.21    66.16      77.64  0.9877     0.9876  0.0123     0.0124     0.3144         0.3492
    126   3.21    62.30      81.43  0.9869     0.9867  0.0131     0.0133     0.3207         0.3838
    127   3.20    59.34      79.95  0.9870     0.9870  0.0130     0.0130     0.3442         0.4110
    128   3.20    69.73      80.07  0.9872     0.9873  0.0128     0.0127     0.3097         0.3562
    129   3.21    66.57      78.18  0.9873     0.9870  0.0127     0.0130     0.3010         0.3520
    130   3.20    57.57      78.83  0.9873     0.9871  0.0127     0.0129     0.3396         0.4039
    131   3.21    62.12      78.02  0.9868     0.9870  0.0132     0.0130     0.3441         0.3959
    132   3.21    57.39      78.02  0.9880     0.9881  0.0120     0.0119     0.3397         0.4010
    133   3.21    57.14      78.15  0.9874     0.9878  0.0126     0.0122     0.3421         0.4120
    134   3.20    58.05      76.88  0.9862     0.9865  0.0138     0.0135     0.3429         0.4048
    135   3.21    61.12      75.70  0.9881     0.9881  0.0119     0.0119     0.3443         0.3997
    136   3.21    55.06      76.20  0.9878     0.9880  0.0122     0.0120     0.3564         0.4224
    137   3.21    54.13      76.34  0.9868     0.9872  0.0132     0.0128     0.3593         0.4293
    138   3.21    52.62      75.40  0.9876     0.9876  0.0124     0.0124     0.3596         0.4267
    139   3.21    54.98      74.42  0.9872     0.9873  0.0128     0.0127     0.3551         0.4138
    140   3.21    56.25      76.62  0.9879     0.9876  0.0121     0.0124     0.3427         0.4128
    141   3.21    55.04      74.77  0.9875     0.9876  0.0125     0.0124     0.3426         0.4010
    142   3.21    60.63      76.49  0.9870     0.9867  0.0130     0.0133     0.3412         0.3966
    143   3.21    51.69      75.64  0.9881     0.9880  0.0119     0.0120     0.3546         0.4237
    144   3.21    51.58      74.22  0.9878     0.9882  0.0122     0.0118     0.3559         0.4187
    145   3.20    55.18      76.02  0.9869     0.9867  0.0131     0.0133     0.3515         0.4235
    146   3.21    57.64      75.17  0.9876     0.9879  0.0124     0.0121     0.3394         0.3979
    147   3.21    53.12      73.79  0.9871     0.9871  0.0129     0.0129     0.3662         0.4252
    148   3.21    50.52      74.02  0.9874     0.9874  0.0126     0.0126     0.3536         0.4259
    149   3.21    54.96      76.53  0.9871     0.9877  0.0129     0.0123     0.3379         0.4065
    150   3.21    52.01      75.36  0.9873     0.9872  0.0127     0.0128     0.3482         0.4260
    151   3.21    53.31      74.25  0.9880     0.9879  0.0120     0.0121     0.3494         0.4176
    152   3.22    54.22      74.48  0.9874     0.9877  0.0126     0.0123     0.3488         0.4155
    153   3.21    48.82      74.04  0.9875     0.9875  0.0125     0.0125     0.3639         0.4433
