  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.07  1228.03     658.86  0.9470     0.9470  0.0530     0.0530     0.0249         0.0250
      2   3.19  1121.36     633.57  0.9711     0.9708  0.0289     0.0292     0.0153         0.0153
      3   3.16  1055.25     604.41  0.9648     0.9646  0.0352     0.0354     0.0183         0.0183
      4   3.21  1011.47     595.61  0.9751     0.9753  0.0249     0.0247     0.0165         0.0165
      5   3.18   979.78     574.54  0.9687     0.9687  0.0313     0.0313     0.0242         0.0244
      6   3.20   951.71     562.83  0.9769     0.9765  0.0231     0.0235     0.0205         0.0205
      7   3.21   933.86     541.61  0.9781     0.9780  0.0219     0.0220     0.0306         0.0304
      8   3.22   910.04     530.98  0.9795     0.9794  0.0205     0.0206     0.0393         0.0393
      9   3.21   886.54     517.17  0.9775     0.9775  0.0225     0.0225     0.0614         0.0616
     10   3.22   867.37     510.69  0.9786     0.9788  0.0214     0.0212     0.0841         0.0845
     11   3.20   845.23     496.74  0.9765     0.9764  0.0235     0.0236     0.0612         0.0612
     12   3.20   816.62     488.31  0.9798     0.9797  0.0202     0.0203     0.0946         0.0949
     13   3.21   806.03     485.42  0.9815     0.9816  0.0185     0.0184     0.1007         0.1009
     14   3.20   771.06     483.10  0.9802     0.9800  0.0198     0.0200     0.1348         0.1350
     15   3.22   770.05     466.17  0.9820     0.9818  0.0180     0.0182     0.0952         0.0950
     16   3.19   754.86     457.18  0.9791     0.9791  0.0209     0.0209     0.1172         0.1177
     17   3.21   733.51     435.08  0.9822     0.9821  0.0178     0.0179     0.1290         0.1293
     18   3.21   707.88     435.90  0.9824     0.9824  0.0176     0.0176     0.1487         0.1486
     19   3.21   698.38     420.25  0.9807     0.9806  0.0193     0.0194     0.1355         0.1362
     20   3.20   683.50     414.36  0.9781     0.9780  0.0219     0.0220     0.1548         0.1556
     21   3.18   633.65     410.30  0.9791     0.9789  0.0209     0.0211     0.2008         0.2007
     22   3.21   641.68     400.10  0.9827     0.9826  0.0173     0.0174     0.1977         0.1986
     23   3.19   616.82     384.71  0.9803     0.9806  0.0197     0.0194     0.1689         0.1690
     24   3.21   614.91     392.14  0.9821     0.9821  0.0179     0.0179     0.1680         0.1689
     25   3.23   574.63     389.40  0.9850     0.9853  0.0150     0.0147     0.2502         0.2502
     26   3.22   568.45     381.96  0.9838     0.9836  0.0162     0.0164     0.2336         0.2342
     27   3.20   569.28     377.98  0.9808     0.9808  0.0192     0.0192     0.2211         0.2234
     28   3.18   543.50     403.16  0.9818     0.9819  0.0182     0.0181     0.2622         0.2646
     29   3.20   511.11     379.04  0.9842     0.9845  0.0158     0.0155     0.2778         0.2816
     30   3.21   519.41     364.47  0.9834     0.9834  0.0166     0.0166     0.2769         0.2799
     31   3.21   473.05     375.74  0.9836     0.9835  0.0164     0.0165     0.3468         0.3534
     32   3.21   477.59     352.28  0.9814     0.9813  0.0186     0.0187     0.2713         0.2759
     33   3.21   504.81     345.48  0.9818     0.9816  0.0182     0.0184     0.2052         0.2087
     34   3.19   473.96     345.49  0.9830     0.9829  0.0170     0.0171     0.2793         0.2834
     35   3.20   417.00     373.05  0.9852     0.9852  0.0148     0.0148     0.3923         0.4029
     36   3.17   483.69     335.75  0.9769     0.9766  0.0231     0.0234     0.2080         0.2093
     37   3.16   475.02     327.65  0.9743     0.9743  0.0257     0.0257     0.2275         0.2313
     38   3.20   453.12     325.66  0.9831     0.9833  0.0169     0.0167     0.2854         0.2893
     39   3.21   430.00     327.38  0.9848     0.9848  0.0152     0.0152     0.2981         0.3033
     40   3.20   400.24     343.56  0.9847     0.9849  0.0153     0.0151     0.3902         0.3987
     41   3.18   413.72     322.82  0.9805     0.9805  0.0195     0.0195     0.3253         0.3321
     42   3.21   395.66     318.36  0.9849     0.9850  0.0151     0.0150     0.3769         0.3871
     43   3.21   401.37     309.91  0.9840     0.9841  0.0160     0.0159     0.3091         0.3169
     44   3.19   381.79     328.38  0.9841     0.9839  0.0159     0.0161     0.3731         0.3856
     45   3.17   378.31     304.27  0.9803     0.9802  0.0197     0.0198     0.2873         0.2957
     46   3.18   376.56     305.96  0.9823     0.9825  0.0177     0.0175     0.2978         0.3100
     47   3.21   374.45     296.94  0.9824     0.9824  0.0176     0.0176     0.3199         0.3364
     48   3.20   354.50     305.30  0.9844     0.9843  0.0156     0.0157     0.3636         0.3780
     49   3.21   341.51     305.35  0.9854     0.9855  0.0146     0.0145     0.3608         0.3792
     50   3.18   344.02     312.95  0.9827     0.9825  0.0173     0.0175     0.3626         0.3812
     51   3.15   353.27     280.55  0.9773     0.9774  0.0227     0.0226     0.2325         0.2399
     52   3.20   312.52     302.84  0.9856     0.9853  0.0144     0.0147     0.4106         0.4293
     53   3.20   321.19     294.27  0.9838     0.9838  0.0162     0.0162     0.3515         0.3693
     54   3.21   345.55     277.58  0.9828     0.9827  0.0172     0.0173     0.2701         0.2781
     55   3.22   327.92     287.32  0.9843     0.9841  0.0157     0.0159     0.3456         0.3584
     56   3.21   311.76     277.08  0.9850     0.9848  0.0150     0.0152     0.3628         0.3840
     57   3.20   304.66     291.57  0.9838     0.9839  0.0162     0.0161     0.3828         0.4105
     58   3.20   360.97     273.20  0.9826     0.9825  0.0174     0.0175     0.2744         0.2802
     59   3.21   310.04     287.89  0.9859     0.9860  0.0141     0.0140     0.4094         0.4304
     60   3.20   305.67     277.29  0.9849     0.9849  0.0151     0.0151     0.3621         0.3776
     61   3.21   286.25     275.95  0.9859     0.9861  0.0141     0.0139     0.4322         0.4549
     62   3.21   265.55     269.19  0.9858     0.9857  0.0142     0.0143     0.4306         0.4597
     63   3.21   245.00     256.60  0.9858     0.9858  0.0142     0.0142     0.4130         0.4445
     64   3.20   317.83     266.93  0.9825     0.9825  0.0175     0.0175     0.1889         0.2013
     65   3.20   287.94     261.05  0.9856     0.9855  0.0144     0.0145     0.3507         0.3765
     66   3.19   279.70     266.22  0.9850     0.9851  0.0150     0.0149     0.3849         0.4173
     67   3.21   270.97     262.32  0.9861     0.9863  0.0139     0.0137     0.4016         0.4234
     68   3.21   255.74     256.86  0.9862     0.9861  0.0138     0.0139     0.4195         0.4477
     69   3.21   240.25     248.23  0.9863     0.9863  0.0137     0.0137     0.4082         0.4385
     70   3.21   224.67     238.95  0.9863     0.9863  0.0137     0.0137     0.4004         0.4343
     71   3.22   208.26     227.84  0.9868     0.9869  0.0132     0.0131     0.3656         0.4054
     72   3.21   251.22     224.92  0.9846     0.9844  0.0154     0.0156     0.2099         0.2253
     73   3.20   235.99     231.92  0.9855     0.9852  0.0145     0.0148     0.3656         0.4001
     74   3.22   249.80     220.41  0.9863     0.9862  0.0137     0.0138     0.3014         0.3212
     75   3.21   262.06     228.33  0.9849     0.9849  0.0151     0.0151     0.2965         0.3188
     76   3.18   267.44     238.71  0.9828     0.9826  0.0172     0.0174     0.2658         0.2872
     77   3.19   244.93     235.19  0.9842     0.9844  0.0158     0.0156     0.3408         0.3735
     78   3.21   238.71     221.18  0.9865     0.9864  0.0135     0.0136     0.3314         0.3592
     79   3.21   222.09     222.99  0.9872     0.9870  0.0128     0.0130     0.3789         0.4169
     80   3.21   209.90     214.30  0.9873     0.9873  0.0127     0.0127     0.3654         0.4065
     81   3.22   198.07     207.60  0.9873     0.9874  0.0127     0.0126     0.3387         0.3789
     82   3.21   185.06     199.57  0.9871     0.9873  0.0129     0.0127     0.3206         0.3718
     83   3.22   173.03     191.12  0.9878     0.9877  0.0122     0.0123     0.2949         0.3442
     84   3.22   161.38     180.63  0.9875     0.9874  0.0125     0.0126     0.2722         0.3211
     85   3.20   229.59     193.52  0.9842     0.9844  0.0158     0.0156     0.2333         0.2648
     86   3.21   208.88     190.43  0.9860     0.9857  0.0140     0.0143     0.2947         0.3374
     87   3.21   198.07     190.86  0.9852     0.9852  0.0148     0.0148     0.3280         0.3778
     88   3.21   188.27     186.99  0.9854     0.9855  0.0146     0.0145     0.3300         0.3813
     89   3.21   179.38     182.85  0.9859     0.9863  0.0141     0.0137     0.3143         0.3650
     90   3.20   171.31     179.59  0.9854     0.9858  0.0146     0.0142     0.2950         0.3497
     91   3.21   174.01     174.43  0.9859     0.9861  0.0141     0.0139     0.2642         0.3091
     92   3.21   179.90     171.40  0.9861     0.9862  0.0139     0.0138     0.2600         0.2970
     93   3.21   157.22     167.55  0.9865     0.9864  0.0135     0.0136     0.2852         0.3302
     94   3.21   143.77     160.86  0.9866     0.9865  0.0134     0.0135     0.2548         0.3094
     95   3.21   190.19     166.31  0.9855     0.9855  0.0145     0.0145     0.1857         0.2161
     96   3.21   176.45     167.77  0.9859     0.9862  0.0141     0.0138     0.2484         0.2915
     97   3.22   174.54     166.60  0.9864     0.9862  0.0136     0.0138     0.2551         0.3008
     98   3.19   186.83     176.70  0.9855     0.9855  0.0145     0.0145     0.2702         0.3241
     99   3.21   182.02     162.14  0.9859     0.9860  0.0141     0.0140     0.2268         0.2638
    100   3.21   165.56     166.56  0.9868     0.9865  0.0132     0.0135     0.2901         0.3487
    101   3.21   158.35     163.69  0.9865     0.9863  0.0135     0.0137     0.2886         0.3519
    102   3.21   153.12     159.59  0.9866     0.9862  0.0134     0.0138     0.2705         0.3304
    103   3.21   147.74     155.66  0.9872     0.9873  0.0128     0.0127     0.2549         0.3074
    104   3.21   143.54     151.71  0.9872     0.9870  0.0128     0.0130     0.2532         0.3121
