t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.1233885288238525,1319.2613525390625,664.1717529296875,0.9563000202178955,0.9560999870300293,0.04369997978210449,0.0439000129699707,0.020500000566244125,0.020500000566244125
2,3.1447579860687256,1292.4842529296875,670.1546630859375,0.9628000259399414,0.9625999927520752,0.037199974060058594,0.037400007247924805,0.020899999886751175,0.020800000056624413
3,3.2110795974731445,1266.250244140625,690.5643920898438,0.9761000275611877,0.9761999845504761,0.023899972438812256,0.023800015449523926,0.013700000010430813,0.013799999840557575
4,3.1702330112457275,1236.3502197265625,694.661865234375,0.9659000039100647,0.9663000106811523,0.0340999960899353,0.033699989318847656,0.020400000736117363,0.0203000009059906
5,3.1913609504699707,1225.1798095703125,701.7357177734375,0.9721999764442444,0.9724000096321106,0.027800023555755615,0.027599990367889404,0.021800000220537186,0.021900000050663948
6,3.182842254638672,1208.8121337890625,703.3026123046875,0.9717000126838684,0.9717000126838684,0.028299987316131592,0.028299987316131592,0.027899999171495438,0.02800000086426735
7,3.194647789001465,1195.185791015625,685.3507080078125,0.9743000268936157,0.9745000004768372,0.025699973106384277,0.025499999523162842,0.029600000008940697,0.029600000008940697
8,3.210442543029785,1190.089599609375,698.5096435546875,0.978600025177002,0.978600025177002,0.021399974822998047,0.021399974822998047,0.041600000113248825,0.04100000113248825
9,3.179337739944458,1180.031982421875,701.573974609375,0.9735999703407288,0.9732999801635742,0.02640002965927124,0.02670001983642578,0.0722000002861023,0.07249999791383743
10,3.20388126373291,1179.095703125,697.9586791992188,0.9783999919891357,0.9782999753952026,0.021600008010864258,0.021700024604797363,0.07639999687671661,0.07620000094175339
11,3.201097249984741,1172.4576416015625,702.9340209960938,0.9785000085830688,0.9783999919891357,0.021499991416931152,0.021600008010864258,0.09889999777078629,0.09880000352859497
12,3.205658197402954,1162.2474365234375,693.6742553710938,0.9801999926567078,0.9801999926567078,0.019800007343292236,0.019800007343292236,0.08160000294446945,0.08169999718666077
13,3.21565580368042,1158.07470703125,680.0341796875,0.9821000099182129,0.9821000099182129,0.01789999008178711,0.01789999008178711,0.08079999685287476,0.08009999990463257
14,3.1947944164276123,1145.0714111328125,671.3050537109375,0.978600025177002,0.9785000085830688,0.021399974822998047,0.021499991416931152,0.08100000023841858,0.08060000091791153
15,3.1998188495635986,1136.3883056640625,669.389404296875,0.9768999814987183,0.9768000245094299,0.02310001850128174,0.02319997549057007,0.12439999729394913,0.12489999830722809
16,3.209465265274048,1128.7454833984375,653.9998779296875,0.9811000227928162,0.9810000061988831,0.018899977207183838,0.018999993801116943,0.1096000000834465,0.10930000245571136
17,3.2016794681549072,1123.6688232421875,649.3695068359375,0.9782999753952026,0.9783999919891357,0.021700024604797363,0.021600008010864258,0.13099999725818634,0.13050000369548798
18,3.137202739715576,1120.9949951171875,671.6858520507812,0.9728999733924866,0.9729999899864197,0.027100026607513428,0.027000010013580322,0.18219999969005585,0.1818999946117401
19,3.1999871730804443,1110.5751953125,656.5338134765625,0.9793999791145325,0.9794999957084656,0.02060002088546753,0.020500004291534424,0.149399995803833,0.15000000596046448
20,3.2126739025115967,1098.8446044921875,632.2973022460938,0.9812999963760376,0.9814000129699707,0.018700003623962402,0.018599987030029297,0.13089999556541443,0.13089999556541443
21,3.2195885181427,1093.7354736328125,643.2640380859375,0.983299970626831,0.9832000136375427,0.016700029373168945,0.016799986362457275,0.1712999939918518,0.17110000550746918
22,3.2124979496002197,1086.9383544921875,645.7589721679688,0.9825999736785889,0.9825999736785889,0.017400026321411133,0.017400026321411133,0.20909999310970306,0.2085999995470047
23,3.1099767684936523,1084.732421875,638.1900634765625,0.9635000228881836,0.963699996471405,0.036499977111816406,0.03630000352859497,0.16419999301433563,0.1639000028371811
24,3.195431709289551,1076.998291015625,632.1646728515625,0.9807999730110168,0.9807000160217285,0.019200026988983154,0.019299983978271484,0.16680000722408295,0.16699999570846558
25,3.2105307579040527,1070.111572265625,647.6956787109375,0.984000027179718,0.9839000105857849,0.015999972820281982,0.016099989414215088,0.22669999301433563,0.226500004529953
26,3.201571464538574,1063.5277099609375,635.869140625,0.9825000166893005,0.9825000166893005,0.017499983310699463,0.017499983310699463,0.23010000586509705,0.23029999434947968
27,3.179090976715088,1055.1343994140625,639.295654296875,0.9807999730110168,0.98089998960495,0.019200026988983154,0.01910001039505005,0.2020999938249588,0.20190000534057617
28,3.212552785873413,1043.9052734375,622.3184814453125,0.9836000204086304,0.9835000038146973,0.01639997959136963,0.016499996185302734,0.17190000414848328,0.17270000278949738
29,3.2146849632263184,1037.8074951171875,606.9588623046875,0.9833999872207642,0.983299970626831,0.01660001277923584,0.016700029373168945,0.19609999656677246,0.19580000638961792
30,3.208638906478882,1031.7469482421875,601.9256591796875,0.983299970626831,0.983299970626831,0.016700029373168945,0.016700029373168945,0.21879999339580536,0.21850000321865082
31,3.207423448562622,1024.2786865234375,595.0703125,0.9839000105857849,0.9837999939918518,0.016099989414215088,0.016200006008148193,0.22930000722408295,0.23019999265670776
32,3.208122491836548,1017.7206420898438,600.8638916015625,0.9847999811172485,0.9847999811172485,0.015200018882751465,0.015200018882751465,0.26159998774528503,0.26190000772476196
33,3.1444036960601807,1013.7708740234375,604.0767822265625,0.9743000268936157,0.9743000268936157,0.025699973106384277,0.025699973106384277,0.3188000023365021,0.31839999556541443
34,3.212096929550171,1006.599365234375,580.8130493164062,0.9828000068664551,0.9829000234603882,0.017199993133544922,0.017099976539611816,0.23100000619888306,0.23090000450611115
35,3.2079806327819824,994.3999633789062,591.9956665039062,0.9835000038146973,0.9836000204086304,0.016499996185302734,0.01639997959136963,0.2854999899864197,0.28540000319480896
36,3.174647569656372,993.7334594726562,591.4050903320312,0.9794999957084656,0.9793999791145325,0.020500004291534424,0.02060002088546753,0.265500009059906,0.2651999890804291
37,3.207343816757202,981.825927734375,595.17919921875,0.9842000007629395,0.9843000173568726,0.015799999237060547,0.01569998264312744,0.3133000135421753,0.31450000405311584
38,3.171795129776001,973.9636840820312,586.7839965820312,0.9799000024795532,0.9800000190734863,0.020099997520446777,0.019999980926513672,0.26589998602867126,0.26579999923706055
39,3.175044536590576,961.5687255859375,591.1832885742188,0.9810000061988831,0.9807999730110168,0.018999993801116943,0.019200026988983154,0.3472000062465668,0.34769999980926514
40,3.186070442199707,953.27392578125,581.3616943359375,0.9825999736785889,0.9825999736785889,0.017400026321411133,0.017400026321411133,0.2777000069618225,0.2777999937534332
41,3.203120231628418,942.3349609375,577.1288452148438,0.9850000143051147,0.9850999712944031,0.014999985694885254,0.014900028705596924,0.2976999878883362,0.29760000109672546
42,3.2061550617218018,941.677734375,557.9696044921875,0.9853000044822693,0.9853000044822693,0.014699995517730713,0.014699995517730713,0.27619999647140503,0.27630001306533813
43,3.2110512256622314,925.487548828125,571.3604736328125,0.9854999780654907,0.9854000210762024,0.014500021934509277,0.014599978923797607,0.2705000042915344,0.2712000012397766
44,3.209336996078491,911.2447509765625,578.6817626953125,0.98580002784729,0.9858999848365784,0.014199972152709961,0.01410001516342163,0.32749998569488525,0.32749998569488525
45,3.205953359603882,894.0308837890625,577.4788818359375,0.9860000014305115,0.9860000014305115,0.013999998569488525,0.013999998569488525,0.33570000529289246,0.3343999981880188
46,3.2035372257232666,871.0299682617188,571.2127075195312,0.986299991607666,0.986299991607666,0.013700008392333984,0.013700008392333984,0.3321000039577484,0.33250001072883606
47,3.200530767440796,840.94189453125,559.9122314453125,0.986299991607666,0.9865000247955322,0.013700008392333984,0.013499975204467773,0.33230000734329224,0.3319000005722046
48,3.198396682739258,800.2881469726562,542.5911865234375,0.9864000082015991,0.9864000082015991,0.013599991798400879,0.013599991798400879,0.34150001406669617,0.3409999907016754
49,3.1965341567993164,747.420654296875,519.8284301757812,0.9865999817848206,0.9865999817848206,0.013400018215179443,0.013400018215179443,0.34940001368522644,0.34860000014305115
50,3.1947028636932373,678.05908203125,492.72760009765625,0.9864000082015991,0.9865000247955322,0.013599991798400879,0.013499975204467773,0.361299991607666,0.3603000044822693
51,3.193774938583374,593.8416748046875,463.07745361328125,0.9864000082015991,0.9865000247955322,0.013599991798400879,0.013499975204467773,0.3792000114917755,0.3772999942302704
52,3.1945579051971436,468.8340759277344,425.37420654296875,0.9865000247955322,0.9865999817848206,0.013499975204467773,0.013400018215179443,0.4090000092983246,0.4108000099658966
53,3.1965620517730713,354.4571228027344,393.8236389160156,0.9865000247955322,0.9868000149726868,0.013499975204467773,0.013199985027313232,0.45190000534057617,0.4587000012397766
54,3.2017266750335693,299.9735107421875,362.4015197753906,0.986299991607666,0.9864000082015991,0.013700008392333984,0.013599991798400879,0.45179998874664307,0.46209999918937683
55,3.201838493347168,261.7702331542969,335.7810974121094,0.9865999817848206,0.9869999885559082,0.013400018215179443,0.013000011444091797,0.4625000059604645,0.47870001196861267
56,3.202742576599121,351.3594665527344,326.89764404296875,0.982699990272522,0.9825999736785889,0.017300009727478027,0.017400026321411133,0.31790000200271606,0.32580000162124634
57,3.2123281955718994,375.8788146972656,336.1226806640625,0.9839000105857849,0.984000027179718,0.016099989414215088,0.015999972820281982,0.30979999899864197,0.3163999915122986
58,3.212283134460449,359.5091247558594,340.97747802734375,0.9861000180244446,0.9861000180244446,0.01389998197555542,0.01389998197555542,0.3411000072956085,0.34869998693466187
59,3.203232526779175,344.3968200683594,343.2161865234375,0.986299991607666,0.9861000180244446,0.013700008392333984,0.01389998197555542,0.41040000319480896,0.41929998993873596
60,3.1797268390655518,379.9681701660156,337.9947814941406,0.9811000227928162,0.9815000295639038,0.018899977207183838,0.01849997043609619,0.31209999322891235,0.3165999948978424
61,3.1967809200286865,370.74554443359375,338.9130554199219,0.984499990940094,0.9846000075340271,0.015500009059906006,0.0153999924659729,0.3653999865055084,0.36809998750686646
62,3.201789617538452,362.00262451171875,354.257568359375,0.9858999848365784,0.9858999848365784,0.01410001516342163,0.01410001516342163,0.41780000925064087,0.4237000048160553
63,3.1990249156951904,351.3231201171875,360.25543212890625,0.9861999750137329,0.9861999750137329,0.01380002498626709,0.01380002498626709,0.44290000200271606,0.44929999113082886
64,3.1957502365112305,342.1885986328125,361.8227233886719,0.9861000180244446,0.9861000180244446,0.01389998197555542,0.01389998197555542,0.4659999907016754,0.4722999930381775
65,3.1937406063079834,335.3006896972656,365.48150634765625,0.9864000082015991,0.986299991607666,0.013599991798400879,0.013700008392333984,0.483599990606308,0.489300012588501
66,3.1922078132629395,328.28289794921875,366.1484375,0.9866999983787537,0.9866999983787537,0.013300001621246338,0.013300001621246338,0.4876999855041504,0.4934999942779541
67,3.1921393871307373,321.304931640625,364.90869140625,0.9865999817848206,0.9865000247955322,0.013400018215179443,0.013499975204467773,0.4927999973297119,0.5037999749183655
68,3.1901793479919434,314.12457275390625,360.6525573730469,0.9865999817848206,0.9864000082015991,0.013400018215179443,0.013599991798400879,0.49239999055862427,0.5020999908447266
69,3.191736936569214,305.8695068359375,354.7962646484375,0.9865000247955322,0.9864000082015991,0.013499975204467773,0.013599991798400879,0.4893999993801117,0.4999000132083893
70,3.1926205158233643,296.43963623046875,348.2874755859375,0.9868000149726868,0.9868000149726868,0.013199985027313232,0.013199985027313232,0.48730000853538513,0.5005999803543091
71,3.193382978439331,285.1277160644531,337.3101501464844,0.9869999885559082,0.9868000149726868,0.013000011444091797,0.013199985027313232,0.48339998722076416,0.49939998984336853
72,3.1953721046447754,271.9686279296875,325.7215576171875,0.9868999719619751,0.9869999885559082,0.013100028038024902,0.013000011444091797,0.4799000024795532,0.4959999918937683
73,3.1970338821411133,256.98663330078125,310.62139892578125,0.9869999885559082,0.9871000051498413,0.013000011444091797,0.012899994850158691,0.47850000858306885,0.4984000027179718
74,3.1967039108276367,239.86001586914062,294.2187805175781,0.9865000247955322,0.9865000247955322,0.013499975204467773,0.013499975204467773,0.4787999987602234,0.5077999830245972
75,3.1980392932891846,225.23573303222656,282.666748046875,0.9872999787330627,0.9873999953269958,0.012700021266937256,0.01260000467300415,0.4821999967098236,0.5188999772071838
76,3.2181143760681152,305.1187438964844,278.4873046875,0.9861999750137329,0.9861000180244446,0.01380002498626709,0.01389998197555542,0.27300000190734863,0.28209999203681946
77,3.2124831676483154,282.98663330078125,278.9366149902344,0.9865999817848206,0.9865999817848206,0.013400018215179443,0.013400018215179443,0.36739999055862427,0.38190001249313354
78,3.2076494693756104,272.67498779296875,282.743408203125,0.9871000051498413,0.9872000217437744,0.012899994850158691,0.012799978256225586,0.4000000059604645,0.41659998893737793
79,3.200498104095459,292.44586181640625,285.68878173828125,0.9864000082015991,0.9864000082015991,0.013599991798400879,0.013599991798400879,0.40389999747276306,0.4138000011444092
80,3.2018284797668457,285.26116943359375,293.8612976074219,0.9866999983787537,0.9865999817848206,0.013300001621246338,0.013400018215179443,0.4138000011444092,0.4255000054836273
81,3.200725793838501,277.0652160644531,300.03631591796875,0.9876999855041504,0.9876999855041504,0.01230001449584961,0.01230001449584961,0.4629000127315521,0.4805999994277954
82,3.199226140975952,272.6055603027344,301.8270568847656,0.988099992275238,0.9879000186920166,0.011900007724761963,0.012099981307983398,0.47099998593330383,0.4869000017642975
83,3.199519634246826,267.84381103515625,303.3736267089844,0.9879000186920166,0.9879999756813049,0.012099981307983398,0.012000024318695068,0.47870001196861267,0.5023000240325928
84,3.196359872817993,262.9632873535156,303.31829833984375,0.9878000020980835,0.9876999855041504,0.012199997901916504,0.01230001449584961,0.48010000586509705,0.5002999901771545
85,3.198866605758667,258.938232421875,296.8523254394531,0.9879999756813049,0.9878000020980835,0.012000024318695068,0.012199997901916504,0.4796000123023987,0.5
86,3.1979997158050537,252.69818115234375,294.9610900878906,0.9882000088691711,0.9882000088691711,0.011799991130828857,0.011799991130828857,0.48890000581741333,0.51419997215271
87,3.1953258514404297,246.17132568359375,289.37371826171875,0.9879999756813049,0.9879999756813049,0.012000024318695068,0.012000024318695068,0.4862000048160553,0.5131999850273132
88,3.1995863914489746,240.72183227539062,280.43280029296875,0.9882000088691711,0.9883999824523926,0.011799991130828857,0.011600017547607422,0.4745999872684479,0.5026000142097473
89,3.199307680130005,230.4637451171875,273.78466796875,0.9884999990463257,0.9884999990463257,0.011500000953674316,0.011500000953674316,0.47870001196861267,0.5072000026702881
90,3.200890302658081,219.94393920898438,263.56988525390625,0.9884999990463257,0.9883999824523926,0.011500000953674316,0.011600017547607422,0.477400004863739,0.5134999752044678
91,3.2018513679504395,209.33050537109375,250.83355712890625,0.9883000254631042,0.9883000254631042,0.011699974536895752,0.011699974536895752,0.4641999900341034,0.49900001287460327
92,3.210374116897583,298.0389099121094,249.83547973632812,0.9854999780654907,0.9855999946594238,0.014500021934509277,0.014400005340576172,0.23579999804496765,0.24400000274181366
93,3.1918318271636963,278.533447265625,256.5658264160156,0.9839000105857849,0.9837999939918518,0.016099989414215088,0.016200006008148193,0.3156999945640564,0.3271999955177307
94,3.2016918659210205,258.0354919433594,249.4952850341797,0.9868000149726868,0.9866999983787537,0.013199985027313232,0.013300001621246338,0.3840000033378601,0.4023999869823456
95,3.200347661972046,252.07041931152344,252.9185028076172,0.9866999983787537,0.9868000149726868,0.013300001621246338,0.013199985027313232,0.41029998660087585,0.4343999922275543
96,3.1973628997802734,246.09625244140625,254.92581176757812,0.9866999983787537,0.9865999817848206,0.013300001621246338,0.013400018215179443,0.4318999946117401,0.4593999981880188
97,3.197117567062378,240.8398895263672,257.7979431152344,0.9868999719619751,0.9868000149726868,0.013100028038024902,0.013199985027313232,0.4456999897956848,0.47209998965263367
98,3.196317434310913,236.00550842285156,259.9754638671875,0.9869999885559082,0.9869999885559082,0.013000011444091797,0.013000011444091797,0.4578999876976013,0.49070000648498535
99,3.1951417922973633,231.68856811523438,261.1896057128906,0.9869999885559082,0.9869999885559082,0.013000011444091797,0.013000011444091797,0.4771000146865845,0.5091999769210815
100,3.1939868927001953,226.63113403320312,260.327880859375,0.9869999885559082,0.9871000051498413,0.013000011444091797,0.012899994850158691,0.4805000126361847,0.515500009059906
101,3.1957950592041016,223.2000732421875,254.58607482910156,0.9872999787330627,0.9872999787330627,0.012700021266937256,0.012700021266937256,0.46799999475479126,0.5023000240325928
102,3.1981453895568848,218.8201446533203,253.09609985351562,0.987500011920929,0.9872999787330627,0.012499988079071045,0.012700021266937256,0.47200000286102295,0.5123999714851379
103,3.1944046020507812,211.14195251464844,247.88072204589844,0.9871000051498413,0.9871000051498413,0.012899994850158691,0.012899994850158691,0.4805999994277954,0.5202999711036682
104,3.2000479698181152,219.22747802734375,239.56060791015625,0.9868000149726868,0.9868000149726868,0.013199985027313232,0.013199985027313232,0.44920000433921814,0.48559999465942383
105,3.198272705078125,202.8267822265625,239.5592041015625,0.9871000051498413,0.9871000051498413,0.012899994850158691,0.012899994850158691,0.4690999984741211,0.5188999772071838
106,3.1981523036956787,199.23245239257812,229.324462890625,0.9876000285148621,0.9873999953269958,0.01239997148513794,0.01260000467300415,0.4627000093460083,0.5060999989509583
107,3.1119611263275146,241.2611541748047,281.11566162109375,0.9800999760627747,0.9801999926567078,0.019900023937225342,0.019800007343292236,0.40380001068115234,0.45649999380111694
108,3.197582960128784,244.71778869628906,230.17906188964844,0.9855999946594238,0.9854999780654907,0.014400005340576172,0.014500021934509277,0.3668999969959259,0.3937000036239624
109,3.2087090015411377,237.54971313476562,229.79421997070312,0.9876000285148621,0.9876999855041504,0.01239997148513794,0.01230001449584961,0.3862999975681305,0.4101000130176544
