  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.12  1319.26     664.17  0.9563     0.9561  0.0437     0.0439     0.0205         0.0205
      2   3.14  1292.48     670.15  0.9628     0.9626  0.0372     0.0374     0.0209         0.0208
      3   3.21  1266.25     690.56  0.9761     0.9762  0.0239     0.0238     0.0137         0.0138
      4   3.17  1236.35     694.66  0.9659     0.9663  0.0341     0.0337     0.0204         0.0203
      5   3.19  1225.18     701.74  0.9722     0.9724  0.0278     0.0276     0.0218         0.0219
      6   3.18  1208.81     703.30  0.9717     0.9717  0.0283     0.0283     0.0279         0.0280
      7   3.19  1195.19     685.35  0.9743     0.9745  0.0257     0.0255     0.0296         0.0296
      8   3.21  1190.09     698.51  0.9786     0.9786  0.0214     0.0214     0.0416         0.0410
      9   3.18  1180.03     701.57  0.9736     0.9733  0.0264     0.0267     0.0722         0.0725
     10   3.20  1179.10     697.96  0.9784     0.9783  0.0216     0.0217     0.0764         0.0762
     11   3.20  1172.46     702.93  0.9785     0.9784  0.0215     0.0216     0.0989         0.0988
     12   3.21  1162.25     693.67  0.9802     0.9802  0.0198     0.0198     0.0816         0.0817
     13   3.22  1158.07     680.03  0.9821     0.9821  0.0179     0.0179     0.0808         0.0801
     14   3.19  1145.07     671.31  0.9786     0.9785  0.0214     0.0215     0.0810         0.0806
     15   3.20  1136.39     669.39  0.9769     0.9768  0.0231     0.0232     0.1244         0.1249
     16   3.21  1128.75     654.00  0.9811     0.9810  0.0189     0.0190     0.1096         0.1093
     17   3.20  1123.67     649.37  0.9783     0.9784  0.0217     0.0216     0.1310         0.1305
     18   3.14  1120.99     671.69  0.9729     0.9730  0.0271     0.0270     0.1822         0.1819
     19   3.20  1110.58     656.53  0.9794     0.9795  0.0206     0.0205     0.1494         0.1500
     20   3.21  1098.84     632.30  0.9813     0.9814  0.0187     0.0186     0.1309         0.1309
     21   3.22  1093.74     643.26  0.9833     0.9832  0.0167     0.0168     0.1713         0.1711
     22   3.21  1086.94     645.76  0.9826     0.9826  0.0174     0.0174     0.2091         0.2086
     23   3.11  1084.73     638.19  0.9635     0.9637  0.0365     0.0363     0.1642         0.1639
     24   3.20  1077.00     632.16  0.9808     0.9807  0.0192     0.0193     0.1668         0.1670
     25   3.21  1070.11     647.70  0.9840     0.9839  0.0160     0.0161     0.2267         0.2265
     26   3.20  1063.53     635.87  0.9825     0.9825  0.0175     0.0175     0.2301         0.2303
     27   3.18  1055.13     639.30  0.9808     0.9809  0.0192     0.0191     0.2021         0.2019
     28   3.21  1043.91     622.32  0.9836     0.9835  0.0164     0.0165     0.1719         0.1727
     29   3.21  1037.81     606.96  0.9834     0.9833  0.0166     0.0167     0.1961         0.1958
     30   3.21  1031.75     601.93  0.9833     0.9833  0.0167     0.0167     0.2188         0.2185
     31   3.21  1024.28     595.07  0.9839     0.9838  0.0161     0.0162     0.2293         0.2302
     32   3.21  1017.72     600.86  0.9848     0.9848  0.0152     0.0152     0.2616         0.2619
     33   3.14  1013.77     604.08  0.9743     0.9743  0.0257     0.0257     0.3188         0.3184
     34   3.21  1006.60     580.81  0.9828     0.9829  0.0172     0.0171     0.2310         0.2309
     35   3.21   994.40     592.00  0.9835     0.9836  0.0165     0.0164     0.2855         0.2854
     36   3.17   993.73     591.41  0.9795     0.9794  0.0205     0.0206     0.2655         0.2652
     37   3.21   981.83     595.18  0.9842     0.9843  0.0158     0.0157     0.3133         0.3145
     38   3.17   973.96     586.78  0.9799     0.9800  0.0201     0.0200     0.2659         0.2658
     39   3.18   961.57     591.18  0.9810     0.9808  0.0190     0.0192     0.3472         0.3477
     40   3.19   953.27     581.36  0.9826     0.9826  0.0174     0.0174     0.2777         0.2778
     41   3.20   942.33     577.13  0.9850     0.9851  0.0150     0.0149     0.2977         0.2976
     42   3.21   941.68     557.97  0.9853     0.9853  0.0147     0.0147     0.2762         0.2763
     43   3.21   925.49     571.36  0.9855     0.9854  0.0145     0.0146     0.2705         0.2712
     44   3.21   911.24     578.68  0.9858     0.9859  0.0142     0.0141     0.3275         0.3275
     45   3.21   894.03     577.48  0.9860     0.9860  0.0140     0.0140     0.3357         0.3344
     46   3.20   871.03     571.21  0.9863     0.9863  0.0137     0.0137     0.3321         0.3325
     47   3.20   840.94     559.91  0.9863     0.9865  0.0137     0.0135     0.3323         0.3319
     48   3.20   800.29     542.59  0.9864     0.9864  0.0136     0.0136     0.3415         0.3410
     49   3.20   747.42     519.83  0.9866     0.9866  0.0134     0.0134     0.3494         0.3486
     50   3.19   678.06     492.73  0.9864     0.9865  0.0136     0.0135     0.3613         0.3603
     51   3.19   593.84     463.08  0.9864     0.9865  0.0136     0.0135     0.3792         0.3773
     52   3.19   468.83     425.37  0.9865     0.9866  0.0135     0.0134     0.4090         0.4108
     53   3.20   354.46     393.82  0.9865     0.9868  0.0135     0.0132     0.4519         0.4587
     54   3.20   299.97     362.40  0.9863     0.9864  0.0137     0.0136     0.4518         0.4621
     55   3.20   261.77     335.78  0.9866     0.9870  0.0134     0.0130     0.4625         0.4787
     56   3.20   351.36     326.90  0.9827     0.9826  0.0173     0.0174     0.3179         0.3258
     57   3.21   375.88     336.12  0.9839     0.9840  0.0161     0.0160     0.3098         0.3164
     58   3.21   359.51     340.98  0.9861     0.9861  0.0139     0.0139     0.3411         0.3487
     59   3.20   344.40     343.22  0.9863     0.9861  0.0137     0.0139     0.4104         0.4193
     60   3.18   379.97     337.99  0.9811     0.9815  0.0189     0.0185     0.3121         0.3166
     61   3.20   370.75     338.91  0.9845     0.9846  0.0155     0.0154     0.3654         0.3681
     62   3.20   362.00     354.26  0.9859     0.9859  0.0141     0.0141     0.4178         0.4237
