  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.13  1373.73     702.23  0.9581     0.9581  0.0419     0.0419     0.0210         0.0211
      2   3.18  1332.96     706.07  0.9695     0.9694  0.0305     0.0306     0.0145         0.0145
      3   3.18  1298.19     709.53  0.9689     0.9688  0.0311     0.0312     0.0174         0.0174
      4   3.18  1298.46     739.67  0.9712     0.9712  0.0288     0.0288     0.0191         0.0190
      5   3.20  1275.68     731.00  0.9748     0.9749  0.0252     0.0251     0.0214         0.0214
      6   3.21  1258.70     732.12  0.9772     0.9772  0.0228     0.0228     0.0227         0.0224
      7   3.23  1251.05     727.76  0.9810     0.9809  0.0190     0.0191     0.0252         0.0250
      8   3.20  1255.30     729.14  0.9762     0.9762  0.0238     0.0238     0.0464         0.0465
      9   3.22  1257.29     743.60  0.9800     0.9800  0.0200     0.0200     0.0491         0.0492
     10   3.21  1248.71     733.56  0.9800     0.9802  0.0200     0.0198     0.0732         0.0729
     11   3.22  1255.12     742.73  0.9808     0.9808  0.0192     0.0192     0.0692         0.0694
     12   3.21  1261.32     769.19  0.9813     0.9811  0.0187     0.0189     0.1010         0.1010
     13   3.19  1252.45     758.31  0.9794     0.9794  0.0206     0.0206     0.0805         0.0804
     14   3.22  1247.20     751.56  0.9830     0.9829  0.0170     0.0171     0.1039         0.1039
     15   3.21  1245.24     763.84  0.9814     0.9813  0.0186     0.0187     0.1100         0.1097
     16   3.16  1241.88     752.78  0.9752     0.9751  0.0248     0.0249     0.0765         0.0764
     17   3.23  1249.98     772.57  0.9855     0.9855  0.0145     0.0145     0.1012         0.1012
     18   3.21  1240.29     759.23  0.9811     0.9811  0.0189     0.0189     0.0959         0.0956
     19   3.21  1247.59     786.25  0.9835     0.9835  0.0165     0.0165     0.1102         0.1104
     20   3.23  1244.04     779.45  0.9827     0.9828  0.0173     0.0172     0.0953         0.0951
     21   3.21  1245.25     783.99  0.9835     0.9835  0.0165     0.0165     0.1346         0.1348
     22   3.21  1246.59     783.77  0.9822     0.9821  0.0178     0.0179     0.1374         0.1376
     23   3.22  1243.93     790.98  0.9836     0.9836  0.0164     0.0164     0.1228         0.1228
     24   3.18  1245.32     790.00  0.9789     0.9788  0.0211     0.0212     0.1517         0.1518
     25   3.20  1246.26     790.51  0.9824     0.9823  0.0176     0.0177     0.1612         0.1618
