t,IZY,IXZ_1,IZ_1Z_2,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.145355224609375,1364.686767578125,698.9623413085938,0.9611999988555908,0.9613000154495239,0.03880000114440918,0.038699984550476074,0.017899999395012856,0.017899999395012856
2,3.1888701915740967,1329.7598876953125,696.6029052734375,0.9704999923706055,0.9704999923706055,0.02950000762939453,0.02950000762939453,0.01640000008046627,0.01640000008046627
3,3.1787056922912598,1307.47705078125,707.9686279296875,0.9690999984741211,0.9692000150680542,0.030900001525878906,0.0307999849319458,0.01720000058412552,0.01730000041425228
4,3.1947243213653564,1283.173828125,696.0777587890625,0.9728000164031982,0.9728000164031982,0.027199983596801758,0.027199983596801758,0.01510000042617321,0.015200000256299973
5,3.2025394439697266,1303.432373046875,734.42529296875,0.9751999974250793,0.9753000140190125,0.024800002574920654,0.02469998598098755,0.021900000050663948,0.02199999988079071
6,3.2049505710601807,1267.05810546875,717.8569946289062,0.9745000004768372,0.9747999906539917,0.025499999523162842,0.0252000093460083,0.0272000003606081,0.027300000190734863
7,3.2230584621429443,1276.7769775390625,740.2146606445312,0.9797999858856201,0.9800000190734863,0.020200014114379883,0.019999980926513672,0.023399999365210533,0.02319999970495701
8,3.2295687198638916,1273.97900390625,751.4400634765625,0.9817000031471252,0.9817000031471252,0.018299996852874756,0.018299996852874756,0.04800000041723251,0.04809999838471413
9,3.2396016120910645,1276.3341064453125,757.6394653320312,0.9833999872207642,0.9836000204086304,0.01660001277923584,0.01639997959136963,0.05909999832510948,0.05939999967813492
10,3.2008495330810547,1265.256103515625,756.9613037109375,0.978600025177002,0.9783999919891357,0.021399974822998047,0.021600008010864258,0.0625,0.0625
11,3.217447519302368,1243.197998046875,732.3316650390625,0.9786999821662903,0.9787999987602234,0.021300017833709717,0.02120000123977661,0.0560000017285347,0.05609999969601631
12,3.2024710178375244,1251.236328125,753.6788330078125,0.979200005531311,0.9793000221252441,0.020799994468688965,0.02069997787475586,0.11460000276565552,0.11490000039339066
13,3.218997001647949,1263.6956787109375,779.9301147460938,0.983299970626831,0.9832000136375427,0.016700029373168945,0.016799986362457275,0.1039000004529953,0.10409999638795853
14,3.208174705505371,1257.435302734375,772.511962890625,0.979200005531311,0.9793000221252441,0.020799994468688965,0.02069997787475586,0.12489999830722809,0.12479999661445618
15,3.1789371967315674,1246.7548828125,759.5106201171875,0.9743000268936157,0.9743000268936157,0.025699973106384277,0.025699973106384277,0.13079999387264252,0.13109999895095825
16,3.216892957687378,1236.47509765625,729.2098388671875,0.9803000092506409,0.9803000092506409,0.01969999074935913,0.01969999074935913,0.0917000025510788,0.09139999747276306
17,3.189223289489746,1264.3570556640625,796.0484619140625,0.9797000288963318,0.9797000288963318,0.020299971103668213,0.020299971103668213,0.1501999944448471,0.14970000088214874
18,3.197523593902588,1239.176025390625,743.1691284179688,0.9772999882698059,0.9772999882698059,0.022700011730194092,0.022700011730194092,0.13349999487400055,0.13369999825954437
19,3.20259952545166,1253.2891845703125,784.2340698242188,0.980400025844574,0.980400025844574,0.019599974155426025,0.019599974155426025,0.14190000295639038,0.14190000295639038
20,3.205303907394409,1254.28369140625,794.7715454101562,0.9815000295639038,0.9817000031471252,0.01849997043609619,0.018299996852874756,0.19910000264644623,0.19920000433921814
21,3.188180685043335,1252.6693115234375,789.9354248046875,0.9790999889373779,0.9789999723434448,0.02090001106262207,0.021000027656555176,0.19290000200271606,0.1931000053882599
22,3.1905243396759033,1248.971435546875,760.8084716796875,0.9793999791145325,0.9793000221252441,0.02060002088546753,0.02069997787475586,0.164900004863739,0.16500000655651093
23,3.2083258628845215,1268.2686767578125,823.8164672851562,0.9837999939918518,0.984000027179718,0.016200006008148193,0.015999972820281982,0.22599999606609344,0.2257000058889389
24,3.1917800903320312,1262.0433349609375,799.8435668945312,0.9801999926567078,0.9803000092506409,0.019800007343292236,0.01969999074935913,0.22470000386238098,0.22450000047683716
25,3.226391077041626,1256.2982177734375,780.0093383789062,0.9828000068664551,0.9828000068664551,0.017199993133544922,0.017199993133544922,0.1891999989748001,0.18870000541210175
26,3.2153072357177734,1263.022216796875,789.3262939453125,0.9822999835014343,0.9822999835014343,0.017700016498565674,0.017700016498565674,0.21310000121593475,0.2134000062942505
27,3.2181122303009033,1275.2822265625,824.312744140625,0.9835000038146973,0.9835000038146973,0.016499996185302734,0.016499996185302734,0.24879999458789825,0.24869999289512634
28,3.190497398376465,1259.076416015625,780.878662109375,0.9785000085830688,0.978600025177002,0.021499991416931152,0.021399974822998047,0.23499999940395355,0.23520000278949738
29,3.15449857711792,1278.421875,832.0667724609375,0.9783999919891357,0.9782000184059143,0.021600008010864258,0.021799981594085693,0.250900000333786,0.250900000333786
30,3.17704439163208,1260.86083984375,791.568603515625,0.9785000085830688,0.9785000085830688,0.021499991416931152,0.021499991416931152,0.19140000641345978,0.1906999945640564
31,3.1952085494995117,1271.9483642578125,820.9503784179688,0.9805999994277954,0.9807999730110168,0.01940000057220459,0.019200026988983154,0.2371000051498413,0.23690000176429749
32,3.2191553115844727,1274.18603515625,817.94921875,0.9840999841690063,0.9840999841690063,0.015900015830993652,0.015900015830993652,0.2619999945163727,0.2615000009536743
33,3.2159860134124756,1284.3333740234375,853.28125,0.9854000210762024,0.9854000210762024,0.014599978923797607,0.014599978923797607,0.27410000562667847,0.2741999924182892
34,3.1688129901885986,1265.07373046875,791.1881103515625,0.9775000214576721,0.9775999784469604,0.02249997854232788,0.02240002155303955,0.21629999577999115,0.2167000025510788
35,3.18812894821167,1272.7005615234375,812.09814453125,0.98089998960495,0.98089998960495,0.01910001039505005,0.01910001039505005,0.24079999327659607,0.2410999983549118
36,3.1865177154541016,1268.2552490234375,800.41064453125,0.9801999926567078,0.9801999926567078,0.019800007343292236,0.019800007343292236,0.2662000060081482,0.2662000060081482
37,3.2056243419647217,1280.084716796875,842.121826171875,0.984499990940094,0.984499990940094,0.015500009059906006,0.015500009059906006,0.2824999988079071,0.2822999954223633
38,3.219733476638794,1280.915771484375,841.0484619140625,0.9857000112533569,0.9857000112533569,0.014299988746643066,0.014299988746643066,0.26669999957084656,0.2669999897480011
39,3.16522479057312,1294.4063720703125,871.2239990234375,0.9781000018119812,0.9779999852180481,0.0218999981880188,0.022000014781951904,0.2745000123977661,0.27480000257492065
40,3.1905696392059326,1266.5927734375,796.4398193359375,0.9805999994277954,0.9805999994277954,0.01940000057220459,0.01940000057220459,0.2142000049352646,0.2143000066280365
41,3.2117457389831543,1286.5008544921875,859.4486694335938,0.98580002784729,0.98580002784729,0.014199972152709961,0.014199972152709961,0.2793999910354614,0.2793999910354614
42,3.208685874938965,1299.2030029296875,900.0519409179688,0.9864000082015991,0.9864000082015991,0.013599991798400879,0.013599991798400879,0.2881999909877777,0.2881999909877777
43,3.2044713497161865,1305.6539306640625,922.489501953125,0.9865000247955322,0.9865000247955322,0.013499975204467773,0.013499975204467773,0.2919999957084656,0.29179999232292175
44,3.201483964920044,1311.1322021484375,942.2611083984375,0.9866999983787537,0.9866999983787537,0.013300001621246338,0.013300001621246338,0.2883000075817108,0.28870001435279846
45,3.198265790939331,1316.27197265625,961.2542724609375,0.9866999983787537,0.9868000149726868,0.013300001621246338,0.013199985027313232,0.2858999967575073,0.2865000069141388
46,3.194458484649658,1322.0516357421875,982.5967407226562,0.9866999983787537,0.9866999983787537,0.013300001621246338,0.013300001621246338,0.28290000557899475,0.2827000021934509
47,3.190493106842041,1328.359130859375,1005.45654296875,0.9865999817848206,0.9865999817848206,0.013400018215179443,0.013400018215179443,0.2784000039100647,0.2793000042438507
48,3.186516284942627,1334.443603515625,1028.7332763671875,0.9865999817848206,0.9865000247955322,0.013400018215179443,0.013499975204467773,0.275299996137619,0.27480000257492065
49,3.1827144622802734,1338.375732421875,1046.957763671875,0.9865000247955322,0.9865000247955322,0.013499975204467773,0.013499975204467773,0.2720000147819519,0.27250000834465027
50,3.179253339767456,1341.0299072265625,1063.337158203125,0.9865000247955322,0.9865000247955322,0.013499975204467773,0.013499975204467773,0.27090001106262207,0.27090001106262207
51,3.1763293743133545,1342.1431884765625,1076.9638671875,0.9868000149726868,0.9868000149726868,0.013199985027313232,0.013199985027313232,0.27219998836517334,0.27239999175071716
52,3.173187255859375,1339.93994140625,1084.079833984375,0.9868000149726868,0.9866999983787537,0.013199985027313232,0.013300001621246338,0.26759999990463257,0.26750001311302185
53,3.170818328857422,1336.022216796875,1088.3135986328125,0.9866999983787537,0.9866999983787537,0.013300001621246338,0.013300001621246338,0.26899999380111694,0.2685000002384186
54,3.1693947315216064,1328.1448974609375,1084.1552734375,0.9868000149726868,0.9868000149726868,0.013199985027313232,0.013199985027313232,0.2590000033378601,0.25929999351501465
55,3.1676788330078125,1317.32421875,1074.918212890625,0.9866999983787537,0.9866999983787537,0.013300001621246338,0.013300001621246338,0.26460000872612,0.2639999985694885
56,3.1667497158050537,1302.037109375,1055.4609375,0.9868999719619751,0.9868999719619751,0.013100028038024902,0.013100028038024902,0.2574000060558319,0.2578999996185303
57,3.1656126976013184,1283.972900390625,1030.9534912109375,0.9868999719619751,0.9868000149726868,0.013100028038024902,0.013199985027313232,0.257999986410141,0.2574999928474426
58,3.1654696464538574,1261.6640625,996.6170654296875,0.9868999719619751,0.9868999719619751,0.013100028038024902,0.013100028038024902,0.2540000081062317,0.2540999948978424
59,3.165311098098755,1236.403076171875,956.6453857421875,0.9868000149726868,0.9868000149726868,0.013199985027313232,0.013199985027313232,0.25839999318122864,0.257999986410141
60,3.166409730911255,1208.091796875,910.7161865234375,0.9868999719619751,0.9868999719619751,0.013100028038024902,0.013100028038024902,0.2547999918460846,0.25459998846054077
61,3.1666407585144043,1177.04736328125,859.19189453125,0.9868999719619751,0.9868999719619751,0.013100028038024902,0.013100028038024902,0.25619998574256897,0.2554999887943268
62,3.1660547256469727,1144.3660888671875,809.0145874023438,0.9868999719619751,0.9868999719619751,0.013100028038024902,0.013100028038024902,0.25999999046325684,0.259799987077713
63,3.167919158935547,1109.51953125,754.3466796875,0.9872000217437744,0.9872000217437744,0.012799978256225586,0.012799978256225586,0.257999986410141,0.25850000977516174
64,3.167396306991577,1073.29345703125,702.8591918945312,0.9871000051498413,0.9869999885559082,0.012899994850158691,0.013000011444091797,0.26339998841285706,0.263700008392334
65,3.1707589626312256,1036.6649169921875,653.6312255859375,0.9873999953269958,0.9872999787330627,0.01260000467300415,0.012700021266937256,0.275299996137619,0.2759000062942505
66,3.170335054397583,998.563720703125,611.0774536132812,0.987500011920929,0.9873999953269958,0.012499988079071045,0.01260000467300415,0.296099990606308,0.29660001397132874
67,3.170254945755005,959.789794921875,569.1046752929688,0.9872999787330627,0.9872999787330627,0.012700021266937256,0.012700021266937256,0.3000999987125397,0.3012000024318695
68,3.1719579696655273,918.0331420898438,530.4437255859375,0.9872000217437744,0.9871000051498413,0.012799978256225586,0.012899994850158691,0.30390000343322754,0.3034000098705292
69,3.1756234169006348,873.9066162109375,490.36968994140625,0.9873999953269958,0.9873999953269958,0.01260000467300415,0.01260000467300415,0.31119999289512634,0.310699999332428
70,3.1754238605499268,820.8274536132812,455.18939208984375,0.9871000051498413,0.9872999787330627,0.012899994850158691,0.012700021266937256,0.31150001287460327,0.31150001287460327
71,3.172832489013672,753.6015014648438,430.8851318359375,0.9872999787330627,0.9872000217437744,0.012700021266937256,0.012799978256225586,0.32910001277923584,0.32919999957084656
72,3.17514705657959,664.7260131835938,397.95953369140625,0.9873999953269958,0.9872000217437744,0.01260000467300415,0.012799978256225586,0.33489999175071716,0.3368000090122223
73,3.206585645675659,767.2672119140625,348.7147521972656,0.9842000007629395,0.9843000173568726,0.015799999237060547,0.01569998264312744,0.16519999504089355,0.16519999504089355
74,3.2091064453125,757.9102783203125,350.8253173828125,0.986299991607666,0.9866999983787537,0.013700008392333984,0.013300001621246338,0.19679999351501465,0.1972000002861023
75,3.2054827213287354,751.3414306640625,352.3057861328125,0.9861999750137329,0.986299991607666,0.01380002498626709,0.013700008392333984,0.21629999577999115,0.21660000085830688
76,3.2031991481781006,745.9376220703125,354.62225341796875,0.9860000014305115,0.9860000014305115,0.013999998569488525,0.013999998569488525,0.22949999570846558,0.22910000383853912
77,3.1996512413024902,740.537353515625,358.1449279785156,0.9864000082015991,0.986299991607666,0.013599991798400879,0.013700008392333984,0.24169999361038208,0.24289999902248383
78,3.1978418827056885,736.260986328125,361.60675048828125,0.9865000247955322,0.9865000247955322,0.013499975204467773,0.013499975204467773,0.24650000035762787,0.24740000069141388
79,3.1941635608673096,730.4609985351562,366.7570495605469,0.9866999983787537,0.9865999817848206,0.013300001621246338,0.013400018215179443,0.2676999866962433,0.2676999866962433
80,3.190695285797119,724.6339111328125,372.863525390625,0.9865000247955322,0.9865000247955322,0.013499975204467773,0.013499975204467773,0.2847999930381775,0.28540000319480896
81,3.187973976135254,719.5181884765625,379.45806884765625,0.9864000082015991,0.9864000082015991,0.013599991798400879,0.013599991798400879,0.29760000109672546,0.2971000075340271
82,3.185054302215576,714.3347778320312,386.3505554199219,0.9864000082015991,0.986299991607666,0.013599991798400879,0.013700008392333984,0.30880001187324524,0.30799999833106995
