  epoch    IZY    IXZ_1    IZ_1Z_2     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.15  1364.69     698.96  0.9612     0.9613  0.0388     0.0387     0.0179         0.0179
      2   3.19  1329.76     696.60  0.9705     0.9705  0.0295     0.0295     0.0164         0.0164
      3   3.18  1307.48     707.97  0.9691     0.9692  0.0309     0.0308     0.0172         0.0173
      4   3.19  1283.17     696.08  0.9728     0.9728  0.0272     0.0272     0.0151         0.0152
      5   3.20  1303.43     734.43  0.9752     0.9753  0.0248     0.0247     0.0219         0.0220
      6   3.20  1267.06     717.86  0.9745     0.9748  0.0255     0.0252     0.0272         0.0273
      7   3.22  1276.78     740.21  0.9798     0.9800  0.0202     0.0200     0.0234         0.0232
      8   3.23  1273.98     751.44  0.9817     0.9817  0.0183     0.0183     0.0480         0.0481
      9   3.24  1276.33     757.64  0.9834     0.9836  0.0166     0.0164     0.0591         0.0594
     10   3.20  1265.26     756.96  0.9786     0.9784  0.0214     0.0216     0.0625         0.0625
     11   3.22  1243.20     732.33  0.9787     0.9788  0.0213     0.0212     0.0560         0.0561
     12   3.20  1251.24     753.68  0.9792     0.9793  0.0208     0.0207     0.1146         0.1149
     13   3.22  1263.70     779.93  0.9833     0.9832  0.0167     0.0168     0.1039         0.1041
     14   3.21  1257.44     772.51  0.9792     0.9793  0.0208     0.0207     0.1249         0.1248
     15   3.18  1246.75     759.51  0.9743     0.9743  0.0257     0.0257     0.1308         0.1311
     16   3.22  1236.48     729.21  0.9803     0.9803  0.0197     0.0197     0.0917         0.0914
     17   3.19  1264.36     796.05  0.9797     0.9797  0.0203     0.0203     0.1502         0.1497
     18   3.20  1239.18     743.17  0.9773     0.9773  0.0227     0.0227     0.1335         0.1337
     19   3.20  1253.29     784.23  0.9804     0.9804  0.0196     0.0196     0.1419         0.1419
     20   3.21  1254.28     794.77  0.9815     0.9817  0.0185     0.0183     0.1991         0.1992
     21   3.19  1252.67     789.94  0.9791     0.9790  0.0209     0.0210     0.1929         0.1931
     22   3.19  1248.97     760.81  0.9794     0.9793  0.0206     0.0207     0.1649         0.1650
     23   3.21  1268.27     823.82  0.9838     0.9840  0.0162     0.0160     0.2260         0.2257
     24   3.19  1262.04     799.84  0.9802     0.9803  0.0198     0.0197     0.2247         0.2245
     25   3.23  1256.30     780.01  0.9828     0.9828  0.0172     0.0172     0.1892         0.1887
     26   3.22  1263.02     789.33  0.9823     0.9823  0.0177     0.0177     0.2131         0.2134
     27   3.22  1275.28     824.31  0.9835     0.9835  0.0165     0.0165     0.2488         0.2487
     28   3.19  1259.08     780.88  0.9785     0.9786  0.0215     0.0214     0.2350         0.2352
     29   3.15  1278.42     832.07  0.9784     0.9782  0.0216     0.0218     0.2509         0.2509
     30   3.18  1260.86     791.57  0.9785     0.9785  0.0215     0.0215     0.1914         0.1907
     31   3.20  1271.95     820.95  0.9806     0.9808  0.0194     0.0192     0.2371         0.2369
     32   3.22  1274.19     817.95  0.9841     0.9841  0.0159     0.0159     0.2620         0.2615
     33   3.22  1284.33     853.28  0.9854     0.9854  0.0146     0.0146     0.2741         0.2742
     34   3.17  1265.07     791.19  0.9775     0.9776  0.0225     0.0224     0.2163         0.2167
     35   3.19  1272.70     812.10  0.9809     0.9809  0.0191     0.0191     0.2408         0.2411
     36   3.19  1268.26     800.41  0.9802     0.9802  0.0198     0.0198     0.2662         0.2662
     37   3.21  1280.08     842.12  0.9845     0.9845  0.0155     0.0155     0.2825         0.2823
     38   3.22  1280.92     841.05  0.9857     0.9857  0.0143     0.0143     0.2667         0.2670
     39   3.17  1294.41     871.22  0.9781     0.9780  0.0219     0.0220     0.2745         0.2748
     40   3.19  1266.59     796.44  0.9806     0.9806  0.0194     0.0194     0.2142         0.2143
     41   3.21  1286.50     859.45  0.9858     0.9858  0.0142     0.0142     0.2794         0.2794
     42   3.21  1299.20     900.05  0.9864     0.9864  0.0136     0.0136     0.2882         0.2882
     43   3.20  1305.65     922.49  0.9865     0.9865  0.0135     0.0135     0.2920         0.2918
     44   3.20  1311.13     942.26  0.9867     0.9867  0.0133     0.0133     0.2883         0.2887
     45   3.20  1316.27     961.25  0.9867     0.9868  0.0133     0.0132     0.2859         0.2865
     46   3.19  1322.05     982.60  0.9867     0.9867  0.0133     0.0133     0.2829         0.2827
     47   3.19  1328.36    1005.46  0.9866     0.9866  0.0134     0.0134     0.2784         0.2793
     48   3.19  1334.44    1028.73  0.9866     0.9865  0.0134     0.0135     0.2753         0.2748
