t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.0497095584869385,546.0186767578125,410.4755554199219,267.1466369628906,0.9412000179290771,0.9419999718666077,0.05879998207092285,0.058000028133392334,0.027699999511241913,0.027799999341368675
2,3.0794248580932617,445.20477294921875,296.1300964355469,210.09031677246094,0.9477999806404114,0.9490000009536743,0.05220001935958862,0.050999999046325684,0.03590000048279762,0.03579999879002571
3,3.1736772060394287,410.58587646484375,287.59478759765625,198.9076690673828,0.9682999849319458,0.9682999849319458,0.0317000150680542,0.0317000150680542,0.022199999541044235,0.02280000038444996
4,3.195131778717041,397.6221008300781,281.5343322753906,188.75311279296875,0.9724000096321106,0.9718999862670898,0.027599990367889404,0.028100013732910156,0.02500000037252903,0.025100000202655792
5,3.2049753665924072,338.77252197265625,227.93402099609375,164.86785888671875,0.9753999710083008,0.9761000275611877,0.02460002899169922,0.023899972438812256,0.03240000084042549,0.034299999475479126
6,3.202892541885376,318.6206359863281,220.58859252929688,159.24220275878906,0.9760000109672546,0.9760000109672546,0.02399998903274536,0.02399998903274536,0.04800000041723251,0.05550000071525574
7,3.204885244369507,285.43951416015625,220.5041046142578,164.5623321533203,0.9767000079154968,0.9775000214576721,0.023299992084503174,0.02249997854232788,0.039000000804662704,0.048900000751018524
8,3.2159969806671143,283.03643798828125,207.9254608154297,149.24734497070312,0.9782999753952026,0.9785000085830688,0.021700024604797363,0.021499991416931152,0.04470000043511391,0.053700000047683716
9,3.195983409881592,271.9228515625,195.4700927734375,148.31277465820312,0.9733999967575073,0.973800003528595,0.026600003242492676,0.02619999647140503,0.04439999908208847,0.050999999046325684
10,3.1974568367004395,254.7034912109375,194.38436889648438,145.54617309570312,0.9761000275611877,0.9771000146865845,0.023899972438812256,0.022899985313415527,0.05339999869465828,0.06530000269412994
11,3.1965529918670654,280.14825439453125,208.97311401367188,155.28173828125,0.9757999777793884,0.9768999814987183,0.024200022220611572,0.02310001850128174,0.04670000076293945,0.05530000105500221
12,3.190359592437744,261.7470703125,183.4896240234375,135.14654541015625,0.9745000004768372,0.9749000072479248,0.025499999523162842,0.025099992752075195,0.05220000073313713,0.061000000685453415
13,3.207841396331787,265.163330078125,188.5270233154297,135.64097595214844,0.9779000282287598,0.9782999753952026,0.022099971771240234,0.021700024604797363,0.04019999876618385,0.050599999725818634
14,3.1870927810668945,255.79281616210938,197.1472625732422,137.66122436523438,0.9733999967575073,0.973800003528595,0.026600003242492676,0.02619999647140503,0.053599998354911804,0.06459999829530716
15,3.2080395221710205,221.3360595703125,172.76785278320312,127.32089233398438,0.9799000024795532,0.9800999760627747,0.020099997520446777,0.019900023937225342,0.05090000107884407,0.060600001364946365
16,3.2006704807281494,229.0828857421875,179.15451049804688,128.62413024902344,0.9789999723434448,0.979200005531311,0.021000027656555176,0.020799994468688965,0.06260000169277191,0.07940000295639038
17,3.2226932048797607,196.5358428955078,174.58389282226562,130.36270141601562,0.98089998960495,0.9817000031471252,0.01910001039505005,0.018299996852874756,0.05249999836087227,0.06700000166893005
18,3.191642999649048,226.39125061035156,178.72097778320312,129.0673370361328,0.9783999919891357,0.9786999821662903,0.021600008010864258,0.021300017833709717,0.062300000339746475,0.07599999755620956
19,3.2095906734466553,181.83055114746094,146.37698364257812,119.7196044921875,0.9801999926567078,0.9811999797821045,0.019800007343292236,0.018800020217895508,0.07320000231266022,0.08609999716281891
20,3.2114803791046143,233.98687744140625,160.79075622558594,117.89009094238281,0.9807000160217285,0.9805999994277954,0.019299983978271484,0.01940000057220459,0.043299999088048935,0.05909999832510948
21,3.1894912719726562,205.52813720703125,158.42271423339844,112.42991638183594,0.9772999882698059,0.9776999950408936,0.022700011730194092,0.022300004959106445,0.054999999701976776,0.06539999693632126
22,3.2020740509033203,194.6715850830078,150.95840454101562,113.9153823852539,0.9793999791145325,0.979200005531311,0.02060002088546753,0.020799994468688965,0.06750000268220901,0.08229999989271164
23,3.2088286876678467,179.8262176513672,140.52857971191406,109.98895263671875,0.9815000295639038,0.9818999767303467,0.01849997043609619,0.01810002326965332,0.0738999992609024,0.09149999916553497
24,3.1996700763702393,265.7865295410156,190.91021728515625,118.76957702636719,0.9797000288963318,0.9793000221252441,0.020299971103668213,0.02069997787475586,0.058400001376867294,0.06870000064373016
25,3.1884031295776367,223.20199584960938,153.53993225097656,106.95452880859375,0.9786999821662903,0.9786999821662903,0.021300017833709717,0.021300017833709717,0.066600002348423,0.08169999718666077
26,3.2161061763763428,175.4414825439453,141.3687744140625,103.52198028564453,0.9825999736785889,0.9829999804496765,0.017400026321411133,0.017000019550323486,0.06870000064373016,0.08219999819993973
27,3.2080814838409424,182.0547637939453,138.9358673095703,107.70386505126953,0.9830999970436096,0.9829999804496765,0.01690000295639038,0.017000019550323486,0.08510000258684158,0.10930000245571136
28,3.2038474082946777,186.40011596679688,143.51690673828125,101.35163879394531,0.982200026512146,0.982200026512146,0.017799973487854004,0.017799973487854004,0.07580000162124634,0.08860000222921371
29,3.2050747871398926,155.2886962890625,131.2688446044922,102.92840576171875,0.9807000160217285,0.980400025844574,0.019299983978271484,0.019599974155426025,0.08619999885559082,0.10520000010728836
30,3.2101621627807617,178.76075744628906,140.52713012695312,99.24832153320312,0.9812999963760376,0.9819999933242798,0.018700003623962402,0.018000006675720215,0.07249999791383743,0.08489999920129776
31,3.1848607063293457,204.18592834472656,160.33685302734375,107.77813720703125,0.9764999747276306,0.9764999747276306,0.023500025272369385,0.023500025272369385,0.06390000134706497,0.07039999961853027
