  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.05   546.02     410.48     267.15  0.9412     0.9420  0.0588     0.0580     0.0277         0.0278
      2   3.08   445.20     296.13     210.09  0.9478     0.9490  0.0522     0.0510     0.0359         0.0358
      3   3.17   410.59     287.59     198.91  0.9683     0.9683  0.0317     0.0317     0.0222         0.0228
      4   3.20   397.62     281.53     188.75  0.9724     0.9719  0.0276     0.0281     0.0250         0.0251
      5   3.20   338.77     227.93     164.87  0.9754     0.9761  0.0246     0.0239     0.0324         0.0343
      6   3.20   318.62     220.59     159.24  0.9760     0.9760  0.0240     0.0240     0.0480         0.0555
      7   3.20   285.44     220.50     164.56  0.9767     0.9775  0.0233     0.0225     0.0390         0.0489
      8   3.22   283.04     207.93     149.25  0.9783     0.9785  0.0217     0.0215     0.0447         0.0537
      9   3.20   271.92     195.47     148.31  0.9734     0.9738  0.0266     0.0262     0.0444         0.0510
     10   3.20   254.70     194.38     145.55  0.9761     0.9771  0.0239     0.0229     0.0534         0.0653
     11   3.20   280.15     208.97     155.28  0.9758     0.9769  0.0242     0.0231     0.0467         0.0553
     12   3.19   261.75     183.49     135.15  0.9745     0.9749  0.0255     0.0251     0.0522         0.0610
     13   3.21   265.16     188.53     135.64  0.9779     0.9783  0.0221     0.0217     0.0402         0.0506
     14   3.19   255.79     197.15     137.66  0.9734     0.9738  0.0266     0.0262     0.0536         0.0646
     15   3.21   221.34     172.77     127.32  0.9799     0.9801  0.0201     0.0199     0.0509         0.0606
     16   3.20   229.08     179.15     128.62  0.9790     0.9792  0.0210     0.0208     0.0626         0.0794
     17   3.22   196.54     174.58     130.36  0.9809     0.9817  0.0191     0.0183     0.0525         0.0670
     18   3.19   226.39     178.72     129.07  0.9784     0.9787  0.0216     0.0213     0.0623         0.0760
     19   3.21   181.83     146.38     119.72  0.9802     0.9812  0.0198     0.0188     0.0732         0.0861
     20   3.21   233.99     160.79     117.89  0.9807     0.9806  0.0193     0.0194     0.0433         0.0591
     21   3.19   205.53     158.42     112.43  0.9773     0.9777  0.0227     0.0223     0.0550         0.0654
     22   3.20   194.67     150.96     113.92  0.9794     0.9792  0.0206     0.0208     0.0675         0.0823
     23   3.21   179.83     140.53     109.99  0.9815     0.9819  0.0185     0.0181     0.0739         0.0915
     24   3.20   265.79     190.91     118.77  0.9797     0.9793  0.0203     0.0207     0.0584         0.0687
     25   3.19   223.20     153.54     106.95  0.9787     0.9787  0.0213     0.0213     0.0666         0.0817
     26   3.22   175.44     141.37     103.52  0.9826     0.9830  0.0174     0.0170     0.0687         0.0822
     27   3.21   182.05     138.94     107.70  0.9831     0.9830  0.0169     0.0170     0.0851         0.1093
     28   3.20   186.40     143.52     101.35  0.9822     0.9822  0.0178     0.0178     0.0758         0.0886
