  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.97   164.26     181.87     133.65  0.9280     0.9305  0.0720     0.0695     0.0589         0.0597
      2   3.11   143.43     177.67     129.39  0.9533     0.9541  0.0467     0.0459     0.0414         0.0432
      3   3.07   136.37     165.34     123.26  0.9475     0.9473  0.0525     0.0527     0.0493         0.0537
      4   3.10    99.72     112.38      94.79  0.9537     0.9570  0.0463     0.0430     0.0733         0.0857
      5   3.14    98.26     113.25      93.33  0.9630     0.9657  0.0370     0.0343     0.0650         0.0763
      6   3.14    87.39      96.17      86.62  0.9636     0.9672  0.0364     0.0328     0.0819         0.0940
      7   3.17   102.05     128.66      92.80  0.9700     0.9709  0.0300     0.0291     0.0452         0.0510
      8   3.14    83.71      95.47      85.85  0.9654     0.9687  0.0346     0.0313     0.0808         0.0956
      9   3.16    79.39      93.80      77.97  0.9686     0.9707  0.0314     0.0293     0.0737         0.0922
     10   3.19    80.49      93.77      75.77  0.9757     0.9758  0.0243     0.0242     0.0731         0.0885
     11   3.16    81.62      95.33      73.16  0.9704     0.9707  0.0296     0.0293     0.0644         0.0793
     12   3.17    71.03      83.06      70.87  0.9718     0.9743  0.0282     0.0257     0.0816         0.1011
     13   3.18    69.03      81.48      67.87  0.9727     0.9754  0.0273     0.0246     0.0829         0.1028
     14   3.20    68.89      81.44      64.18  0.9774     0.9771  0.0226     0.0229     0.0890         0.1058
     15   3.19    67.02      78.67      62.03  0.9753     0.9763  0.0247     0.0237     0.0881         0.1045
     16   3.18    68.67      78.28      60.91  0.9771     0.9777  0.0229     0.0223     0.1032         0.1192
     17   3.15    60.66      75.53      62.17  0.9700     0.9725  0.0300     0.0275     0.0943         0.1142
     18   3.15    61.15      73.73      61.68  0.9720     0.9738  0.0280     0.0262     0.0958         0.1153
     19   3.18    61.40      69.61      59.14  0.9751     0.9774  0.0249     0.0226     0.1353         0.1696
     20   3.19    58.21      72.20      56.35  0.9788     0.9783  0.0212     0.0217     0.1104         0.1337
     21   3.19    58.37      66.72      53.19  0.9747     0.9770  0.0253     0.0230     0.1148         0.1363
     22   3.17    52.33      62.33      55.30  0.9769     0.9774  0.0231     0.0226     0.1404         0.1685
     23   3.19    66.29      82.96      57.18  0.9786     0.9785  0.0214     0.0215     0.1122         0.1262
     24   3.17    55.20      67.46      54.80  0.9752     0.9766  0.0248     0.0234     0.1401         0.1585
     25   3.14    60.16      65.18      51.83  0.9733     0.9741  0.0267     0.0259     0.1683         0.2017
     26   3.18    55.15      68.29      49.61  0.9773     0.9779  0.0227     0.0221     0.1481         0.1661
     27   3.19    54.97      59.00      47.90  0.9802     0.9805  0.0198     0.0195     0.1843         0.2149
     28   3.18    49.97      57.66      46.87  0.9777     0.9791  0.0223     0.0209     0.1895         0.2203
     29   3.18    52.03      59.58      46.32  0.9778     0.9789  0.0222     0.0211     0.1927         0.2233
     30   3.18    48.27      54.02      47.37  0.9780     0.9783  0.0220     0.0217     0.2223         0.2595
     31   3.17    54.91      58.49      44.22  0.9781     0.9795  0.0219     0.0205     0.2191         0.2456
     32   3.18    48.88      55.07      45.99  0.9795     0.9803  0.0205     0.0197     0.2161         0.2388
     33   3.17    51.14      61.02      44.50  0.9803     0.9805  0.0197     0.0195     0.1980         0.2123
     34   3.17    47.19      51.40      44.82  0.9768     0.9788  0.0232     0.0212     0.2423         0.2717
     35   3.17    47.78      51.34      43.34  0.9788     0.9801  0.0212     0.0199     0.2704         0.3022
     36   3.17    47.90      50.78      41.65  0.9786     0.9788  0.0214     0.0212     0.2931         0.3203
     37   3.17    45.01      49.75      40.87  0.9796     0.9805  0.0204     0.0195     0.2798         0.3038
     38   3.17    43.15      46.04      41.17  0.9795     0.9809  0.0205     0.0191     0.2759         0.3105
     39   3.18    41.57      47.17      40.12  0.9819     0.9827  0.0181     0.0173     0.2696         0.2912
     40   3.19    43.37      49.08      38.70  0.9816     0.9814  0.0184     0.0186     0.2911         0.3119
     41   3.18    40.71      45.31      41.78  0.9804     0.9813  0.0196     0.0187     0.2953         0.3309
     42   3.18    40.61      42.34      39.00  0.9811     0.9815  0.0189     0.0185     0.3318         0.3598
