t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,2.33497953414917,55.18046569824219,96.0981674194336,76.0888900756836,0.7825999855995178,0.8460999727249146,0.21740001440048218,0.15390002727508545,0.16339999437332153,0.17059999704360962
2,2.057987689971924,44.84272384643555,91.8575439453125,103.51976013183594,0.7493000030517578,0.8443999886512756,0.2506999969482422,0.15560001134872437,0.2087000012397766,0.22599999606609344
3,2.7699508666992188,42.00575256347656,74.33319091796875,65.11554718017578,0.8855000138282776,0.9085999727249146,0.11449998617172241,0.09140002727508545,0.09719999879598618,0.1014999970793724
4,2.807567834854126,34.58917999267578,66.05028533935547,54.31556701660156,0.8985999822616577,0.9222000241279602,0.10140001773834229,0.0777999758720398,0.09009999781847,0.09040000289678574
5,2.877762794494629,33.81968688964844,59.67072677612305,52.48866271972656,0.9088000059127808,0.9308000206947327,0.09119999408721924,0.06919997930526733,0.09350000321865082,0.09549999982118607
6,2.2932913303375244,39.98916244506836,67.60081481933594,78.80107116699219,0.8033999800682068,0.8600999712944031,0.1966000199317932,0.13990002870559692,0.18240000307559967,0.1882999986410141
7,2.9399943351745605,30.489171981811523,53.45287322998047,46.540924072265625,0.9226999878883362,0.9434000253677368,0.07730001211166382,0.056599974632263184,0.08100000023841858,0.08550000190734863
8,3.0687739849090576,37.2547607421875,71.10484313964844,54.309661865234375,0.9531000256538391,0.9550999999046326,0.04689997434616089,0.04490000009536743,0.042899999767541885,0.04340000078082085
9,2.975465774536133,28.111671447753906,48.24483108520508,41.28845977783203,0.9359999895095825,0.9505000114440918,0.06400001049041748,0.0494999885559082,0.07509999722242355,0.07559999823570251
10,3.0076773166656494,28.516738891601562,49.081199645996094,39.826011657714844,0.9444000124931335,0.954800009727478,0.055599987506866455,0.04519999027252197,0.06530000269412994,0.06780000030994415
11,3.0322518348693848,28.288223266601562,47.193443298339844,36.861698150634766,0.9449999928474426,0.957099974155426,0.05500000715255737,0.042900025844573975,0.08529999852180481,0.08799999952316284
12,2.9400126934051514,26.71072006225586,41.355716705322266,35.331382751464844,0.925599992275238,0.9469000101089478,0.07440000772476196,0.053099989891052246,0.10100000351667404,0.10740000009536743
13,2.9967033863067627,27.630525588989258,42.07609176635742,33.1558952331543,0.9419000148773193,0.9550999999046326,0.058099985122680664,0.04490000009536743,0.08460000157356262,0.08739999681711197
14,2.9760384559631348,24.379730224609375,39.272579193115234,30.99423599243164,0.9363999962806702,0.951200008392334,0.06360000371932983,0.048799991607666016,0.07509999722242355,0.07819999754428864
15,3.0652408599853516,25.82518196105957,42.656654357910156,30.617717742919922,0.9528999924659729,0.961899995803833,0.0471000075340271,0.03810000419616699,0.07930000126361847,0.08160000294446945
16,3.0324950218200684,24.69675064086914,37.33147430419922,27.123458862304688,0.9498000144958496,0.9613000154495239,0.05019998550415039,0.038699984550476074,0.11540000140666962,0.1200999990105629
17,3.0038681030273438,22.93647575378418,34.12657928466797,26.27785873413086,0.9438999891281128,0.958299994468689,0.05610001087188721,0.041700005531311035,0.121799997985363,0.13040000200271606
18,3.054723024368286,24.79483985900879,37.98341751098633,25.683940887451172,0.955299973487854,0.9624000191688538,0.044700026512145996,0.03759998083114624,0.11429999768733978,0.11569999903440475
19,2.9688620567321777,21.685142517089844,32.37641143798828,23.921873092651367,0.9394000172615051,0.9516000151634216,0.06059998273849487,0.04839998483657837,0.1378999948501587,0.14139999449253082
20,3.0951220989227295,27.53537940979004,41.12836456298828,25.276233673095703,0.9642999768257141,0.9685999751091003,0.03570002317428589,0.03140002489089966,0.15690000355243683,0.1581999957561493
21,3.01896333694458,21.684782028198242,30.246915817260742,22.504379272460938,0.9466000199317932,0.9635000228881836,0.05339998006820679,0.036499977111816406,0.1542000025510788,0.1615999937057495
22,2.919029474258423,23.42786407470703,31.23419189453125,22.669740676879883,0.9370999932289124,0.9473000168800354,0.06290000677108765,0.0526999831199646,0.1842000037431717,0.1889999955892563
23,3.013010263442993,21.330215454101562,30.195140838623047,22.334842681884766,0.9484000205993652,0.9628000259399414,0.051599979400634766,0.037199974060058594,0.164000004529953,0.17100000381469727
24,3.047062397003174,20.61680793762207,28.094314575195312,20.4586238861084,0.958899974822998,0.9688000082969666,0.04110002517700195,0.031199991703033447,0.17739999294281006,0.18279999494552612
25,3.0242443084716797,19.557750701904297,27.73824691772461,19.94509506225586,0.9542999863624573,0.9632999897003174,0.045700013637542725,0.03670001029968262,0.14910000562667847,0.15360000729560852
26,3.0370821952819824,20.914081573486328,27.1578369140625,20.143123626708984,0.9552000164985657,0.9648000001907349,0.044799983501434326,0.03519999980926514,0.1753000020980835,0.18160000443458557
27,3.065943956375122,22.086437225341797,26.374359130859375,19.570791244506836,0.9624999761581421,0.9693999886512756,0.03750002384185791,0.030600011348724365,0.16680000722408295,0.17409999668598175
28,3.049067497253418,20.858238220214844,26.51642417907715,19.252540588378906,0.9591000080108643,0.9652000069618225,0.04089999198913574,0.03479999303817749,0.17190000414848328,0.1776999980211258
29,3.1067709922790527,22.65129280090332,30.2337589263916,18.664915084838867,0.9708999991416931,0.9740999937057495,0.029100000858306885,0.02590000629425049,0.15049999952316284,0.15240000188350677
30,3.033370018005371,20.879791259765625,25.904258728027344,18.58730697631836,0.9577999711036682,0.9629999995231628,0.04220002889633179,0.03700000047683716,0.15080000460147858,0.1551000028848648
31,3.0288851261138916,19.721694946289062,24.598892211914062,17.368497848510742,0.95660001039505,0.9653000235557556,0.04339998960494995,0.034699976444244385,0.18029999732971191,0.18539999425411224
32,3.083577871322632,20.03795623779297,26.132659912109375,17.922237396240234,0.9670000076293945,0.9710000157356262,0.03299999237060547,0.02899998426437378,0.13819999992847443,0.1387999951839447
33,3.0715174674987793,18.15656089782715,23.60306167602539,16.563217163085938,0.9639999866485596,0.97079998254776,0.03600001335144043,0.02920001745223999,0.15119999647140503,0.15649999678134918
34,2.993839979171753,17.68105125427246,23.136945724487305,16.580078125,0.9498999714851379,0.9598000049591064,0.05010002851486206,0.040199995040893555,0.1307000070810318,0.13300000131130219
35,3.036302328109741,19.888442993164062,23.239578247070312,16.880123138427734,0.9610000252723694,0.9679999947547913,0.038999974727630615,0.03200000524520874,0.147599995136261,0.15039999783039093
36,3.028308153152466,20.2984619140625,22.523170471191406,17.162717819213867,0.958899974822998,0.968500018119812,0.04110002517700195,0.03149998188018799,0.16009999811649323,0.16509999334812164
37,3.0468316078186035,18.6285400390625,21.646900177001953,16.313621520996094,0.9596999883651733,0.9692000150680542,0.04030001163482666,0.0307999849319458,0.14079999923706055,0.14309999346733093
38,3.0019233226776123,17.693161010742188,21.1956844329834,16.658382415771484,0.953499972820282,0.9635999798774719,0.04650002717971802,0.036400020122528076,0.1298999935388565,0.13429999351501465
39,3.0722384452819824,19.596399307250977,20.816570281982422,16.685518264770508,0.9661999940872192,0.9721999764442444,0.03380000591278076,0.027800023555755615,0.1460999995470047,0.14869999885559082
40,3.0484213829040527,17.354766845703125,20.071840286254883,16.2591609954834,0.9624000191688538,0.9695000052452087,0.03759998083114624,0.03049999475479126,0.12890000641345978,0.13210000097751617
41,3.047179937362671,18.496976852416992,20.532697677612305,16.406532287597656,0.9631999731063843,0.9684000015258789,0.03680002689361572,0.031599998474121094,0.11460000276565552,0.1152999997138977
42,3.0601446628570557,16.821670532226562,18.576276779174805,16.066362380981445,0.9646999835968018,0.9703999757766724,0.03530001640319824,0.029600024223327637,0.12960000336170197,0.13089999556541443
43,3.0463638305664062,17.09183692932129,18.20341682434082,15.516664505004883,0.9624999761581421,0.967199981212616,0.03750002384185791,0.03280001878738403,0.1331000030040741,0.13619999587535858
44,3.026762008666992,16.1717472076416,17.940196990966797,14.888745307922363,0.9613999724388123,0.9681000113487244,0.038600027561187744,0.031899988651275635,0.11630000174045563,0.11509999632835388
45,3.0607409477233887,17.818775177001953,18.296049118041992,15.052077293395996,0.9660999774932861,0.9724000096321106,0.03390002250671387,0.027599990367889404,0.13809999823570251,0.13809999823570251
46,3.0606067180633545,16.981285095214844,17.04612159729004,14.409997940063477,0.9661999940872192,0.9703999757766724,0.03380000591278076,0.029600024223327637,0.120899997651577,0.12160000205039978
47,3.070470094680786,18.64561653137207,17.748703002929688,15.070161819458008,0.967199981212616,0.9736999869346619,0.03280001878738403,0.026300013065338135,0.10949999839067459,0.10970000177621841
48,3.0460641384124756,16.818462371826172,17.913753509521484,14.036371231079102,0.9645000100135803,0.9684000015258789,0.03549998998641968,0.031599998474121094,0.11339999735355377,0.1120000034570694
49,3.045413017272949,16.304298400878906,17.596220016479492,14.00758171081543,0.963100016117096,0.9700999855995178,0.03689998388290405,0.029900014400482178,0.11100000143051147,0.10620000213384628
50,3.06765079498291,17.10280990600586,17.00636100769043,13.880887031555176,0.9678999781608582,0.9726999998092651,0.032100021839141846,0.027300000190734863,0.12039999663829803,0.11959999799728394
51,3.021024703979492,17.111324310302734,16.292207717895508,13.950632095336914,0.9617999792098999,0.9682000279426575,0.0382000207901001,0.03179997205734253,0.12780000269412994,0.12600000202655792
52,3.0767884254455566,17.145721435546875,16.29119110107422,13.91115951538086,0.9689000248908997,0.9743000268936157,0.031099975109100342,0.025699973106384277,0.12780000269412994,0.12790000438690186
53,3.051630735397339,16.486661911010742,16.28721046447754,13.649348258972168,0.9643999934196472,0.9710000157356262,0.03560000658035278,0.02899998426437378,0.13459999859333038,0.13439999520778656
54,3.06429123878479,16.84506607055664,16.196853637695312,13.30647087097168,0.9660999774932861,0.9721999764442444,0.03390002250671387,0.027800023555755615,0.11339999735355377,0.11129999905824661
55,3.0402448177337646,16.15629768371582,15.660916328430176,13.504779815673828,0.9641000032424927,0.9728000164031982,0.035899996757507324,0.027199983596801758,0.11509999632835388,0.11299999803304672
56,3.044896364212036,17.727161407470703,15.564900398254395,13.96364688873291,0.9650999903678894,0.9696999788284302,0.034900009632110596,0.030300021171569824,0.11999999731779099,0.11980000138282776
57,3.0723071098327637,19.077451705932617,16.464040756225586,13.328726768493652,0.9696000218391418,0.9758999943733215,0.030399978160858154,0.024100005626678467,0.10970000177621841,0.1096000000834465
58,3.040909767150879,15.075394630432129,15.521778106689453,13.03062915802002,0.9638000130653381,0.9700999855995178,0.036199986934661865,0.029900014400482178,0.1234000027179718,0.12020000070333481
59,3.063432216644287,16.951202392578125,14.872417449951172,13.466838836669922,0.9678999781608582,0.9722999930381775,0.032100021839141846,0.02770000696182251,0.12290000170469284,0.1216999962925911
60,3.0446829795837402,15.969613075256348,14.85384464263916,12.872806549072266,0.9656999707221985,0.972599983215332,0.034300029277801514,0.02740001678466797,0.12349999696016312,0.12530000507831573
61,3.0723588466644287,15.852960586547852,14.797788619995117,12.531984329223633,0.9679999947547913,0.974399983882904,0.03200000524520874,0.025600016117095947,0.11909999698400497,0.11810000240802765
62,3.058928966522217,15.90867805480957,14.811298370361328,12.721444129943848,0.9682000279426575,0.9728999733924866,0.03179997205734253,0.027100026607513428,0.12099999934434891,0.12290000170469284
63,3.076007127761841,16.3568058013916,14.967888832092285,12.81889533996582,0.9703999757766724,0.9764000177383423,0.029600024223327637,0.023599982261657715,0.11749999970197678,0.11779999732971191
64,3.065542459487915,15.10407543182373,14.522747993469238,12.552788734436035,0.9682999849319458,0.9736999869346619,0.0317000150680542,0.026300013065338135,0.12330000102519989,0.12250000238418579
65,3.0455451011657715,16.23914337158203,15.54409122467041,13.159862518310547,0.9668999910354614,0.9722999930381775,0.033100008964538574,0.02770000696182251,0.1256999969482422,0.12540000677108765
66,3.0663950443267822,15.681063652038574,14.61989688873291,12.425660133361816,0.9674000144004822,0.9711999893188477,0.03259998559951782,0.028800010681152344,0.1151999980211258,0.11509999632835388
67,3.0737411975860596,14.842340469360352,14.431462287902832,12.634790420532227,0.9692000150680542,0.9758999943733215,0.0307999849319458,0.024100005626678467,0.11569999903440475,0.11330000311136246
68,3.0420267581939697,15.261134147644043,14.116745948791504,12.368301391601562,0.965399980545044,0.9726999998092651,0.034600019454956055,0.027300000190734863,0.11659999936819077,0.11720000207424164
69,3.042842388153076,15.281745910644531,13.822718620300293,12.32405948638916,0.965499997138977,0.972599983215332,0.03450000286102295,0.02740001678466797,0.11590000241994858,0.11550000309944153
70,3.0777575969696045,15.733404159545898,13.945452690124512,12.272128105163574,0.9714999794960022,0.9758999943733215,0.028500020503997803,0.024100005626678467,0.12690000236034393,0.12860000133514404
71,3.0746772289276123,14.913666725158691,14.459687232971191,11.95961856842041,0.9700999855995178,0.9749000072479248,0.029900014400482178,0.025099992752075195,0.09989999979734421,0.09950000047683716
72,3.0720221996307373,15.378707885742188,13.950485229492188,12.33367919921875,0.9708999991416931,0.9757999777793884,0.029100000858306885,0.024200022220611572,0.11379999667406082,0.11219999939203262
73,3.092168092727661,15.220443725585938,13.331680297851562,12.230743408203125,0.9708999991416931,0.9768999814987183,0.029100000858306885,0.02310001850128174,0.1307000070810318,0.12880000472068787
74,3.0531723499298096,15.975476264953613,13.347933769226074,12.395462036132812,0.9686999917030334,0.9740999937057495,0.03130000829696655,0.02590000629425049,0.1256999969482422,0.12549999356269836
75,3.0821423530578613,15.368218421936035,13.684802055358887,12.140872955322266,0.9724000096321106,0.9775999784469604,0.027599990367889404,0.02240002155303955,0.12129999697208405,0.12080000340938568
76,3.0219297409057617,14.752382278442383,13.752177238464355,12.559061050415039,0.964900016784668,0.970300018787384,0.03509998321533203,0.029699981212615967,0.1151999980211258,0.11620000004768372
77,3.0752451419830322,15.47330379486084,13.40627670288086,11.724967956542969,0.9725000262260437,0.9771000146865845,0.0274999737739563,0.022899985313415527,0.10909999907016754,0.10719999670982361
78,3.0710761547088623,14.678078651428223,13.1751708984375,12.211740493774414,0.9702000021934509,0.9739000201225281,0.029799997806549072,0.026099979877471924,0.13089999556541443,0.12950000166893005
79,3.0645289421081543,15.053950309753418,13.348926544189453,11.698558807373047,0.9718000292778015,0.9767000079154968,0.028199970722198486,0.023299992084503174,0.1145000010728836,0.11349999904632568
80,3.0844502449035645,14.507954597473145,13.04466438293457,12.181784629821777,0.9717000126838684,0.9750999808311462,0.028299987316131592,0.02490001916885376,0.13289999961853027,0.13109999895095825
81,3.0428144931793213,13.887937545776367,12.658859252929688,11.860034942626953,0.967199981212616,0.9724000096321106,0.03280001878738403,0.027599990367889404,0.12460000067949295,0.12240000069141388
82,3.0606534481048584,14.625,12.989550590515137,11.546329498291016,0.9697999954223633,0.9767000079154968,0.03020000457763672,0.023299992084503174,0.12269999831914902,0.12319999933242798
83,3.067559242248535,15.045042991638184,13.241528511047363,11.927810668945312,0.9708999991416931,0.9747999906539917,0.029100000858306885,0.0252000093460083,0.10580000281333923,0.10700000077486038
