  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   2.33    55.18      96.10      76.09  0.7826     0.8461  0.2174     0.1539     0.1634         0.1706
      2   2.06    44.84      91.86     103.52  0.7493     0.8444  0.2507     0.1556     0.2087         0.2260
      3   2.77    42.01      74.33      65.12  0.8855     0.9086  0.1145     0.0914     0.0972         0.1015
      4   2.81    34.59      66.05      54.32  0.8986     0.9222  0.1014     0.0778     0.0901         0.0904
      5   2.88    33.82      59.67      52.49  0.9088     0.9308  0.0912     0.0692     0.0935         0.0955
      6   2.29    39.99      67.60      78.80  0.8034     0.8601  0.1966     0.1399     0.1824         0.1883
      7   2.94    30.49      53.45      46.54  0.9227     0.9434  0.0773     0.0566     0.0810         0.0855
      8   3.07    37.25      71.10      54.31  0.9531     0.9551  0.0469     0.0449     0.0429         0.0434
      9   2.98    28.11      48.24      41.29  0.9360     0.9505  0.0640     0.0495     0.0751         0.0756
     10   3.01    28.52      49.08      39.83  0.9444     0.9548  0.0556     0.0452     0.0653         0.0678
     11   3.03    28.29      47.19      36.86  0.9450     0.9571  0.0550     0.0429     0.0853         0.0880
     12   2.94    26.71      41.36      35.33  0.9256     0.9469  0.0744     0.0531     0.1010         0.1074
     13   3.00    27.63      42.08      33.16  0.9419     0.9551  0.0581     0.0449     0.0846         0.0874
     14   2.98    24.38      39.27      30.99  0.9364     0.9512  0.0636     0.0488     0.0751         0.0782
     15   3.07    25.83      42.66      30.62  0.9529     0.9619  0.0471     0.0381     0.0793         0.0816
     16   3.03    24.70      37.33      27.12  0.9498     0.9613  0.0502     0.0387     0.1154         0.1201
     17   3.00    22.94      34.13      26.28  0.9439     0.9583  0.0561     0.0417     0.1218         0.1304
     18   3.05    24.79      37.98      25.68  0.9553     0.9624  0.0447     0.0376     0.1143         0.1157
     19   2.97    21.69      32.38      23.92  0.9394     0.9516  0.0606     0.0484     0.1379         0.1414
     20   3.10    27.54      41.13      25.28  0.9643     0.9686  0.0357     0.0314     0.1569         0.1582
     21   3.02    21.68      30.25      22.50  0.9466     0.9635  0.0534     0.0365     0.1542         0.1616
     22   2.92    23.43      31.23      22.67  0.9371     0.9473  0.0629     0.0527     0.1842         0.1890
     23   3.01    21.33      30.20      22.33  0.9484     0.9628  0.0516     0.0372     0.1640         0.1710
     24   3.05    20.62      28.09      20.46  0.9589     0.9688  0.0411     0.0312     0.1774         0.1828
     25   3.02    19.56      27.74      19.95  0.9543     0.9633  0.0457     0.0367     0.1491         0.1536
     26   3.04    20.91      27.16      20.14  0.9552     0.9648  0.0448     0.0352     0.1753         0.1816
     27   3.07    22.09      26.37      19.57  0.9625     0.9694  0.0375     0.0306     0.1668         0.1741
     28   3.05    20.86      26.52      19.25  0.9591     0.9652  0.0409     0.0348     0.1719         0.1777
