t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,-0.5613706111907959,26.528804779052734,80.61701202392578,44.358642578125,0.11400000005960464,0.12409999966621399,0.8859999999403954,0.875900000333786,0.1265999972820282,0.1315000057220459
2,-0.2546985149383545,17.798416137695312,80.64495849609375,55.64863967895508,0.10239999741315842,0.11129999905824661,0.8976000025868416,0.8887000009417534,0.11649999767541885,0.12770000100135803
3,-0.49174928665161133,8.980666160583496,49.796913146972656,33.67686462402344,0.10109999775886536,0.10740000009536743,0.8989000022411346,0.8925999999046326,0.11460000276565552,0.11829999834299088
4,-0.22360992431640625,10.332660675048828,48.96810531616211,36.89220428466797,0.10499999672174454,0.1088000014424324,0.8950000032782555,0.8911999985575676,0.1128000020980835,0.1080000028014183
5,-0.3786036968231201,6.189549446105957,39.78134536743164,27.277976989746094,0.10369999706745148,0.1039000004529953,0.8963000029325485,0.8960999995470047,0.10369999706745148,0.10980000346899033
6,-0.23151302337646484,5.972256660461426,35.34465026855469,21.457796096801758,0.10239999741315842,0.10599999874830246,0.8976000025868416,0.8940000012516975,0.10700000077486038,0.1062999963760376
7,-0.13311028480529785,5.280111789703369,34.66374969482422,19.409862518310547,0.10180000215768814,0.1046999990940094,0.8981999978423119,0.8953000009059906,0.10939999669790268,0.11599999666213989
8,-0.10645699501037598,4.930913925170898,31.393146514892578,15.534281730651855,0.10199999809265137,0.10260000079870224,0.8980000019073486,0.8973999992012978,0.1005999967455864,0.10480000078678131
9,-0.09062933921813965,3.8656058311462402,28.034212112426758,12.869709014892578,0.10119999945163727,0.10239999741315842,0.8988000005483627,0.8976000025868416,0.09960000216960907,0.10779999941587448
10,-0.04008889198303223,6.116120338439941,34.685630798339844,15.284295082092285,0.09880000352859497,0.10689999908208847,0.901199996471405,0.8931000009179115,0.10540000349283218,0.10750000178813934
11,-0.06590700149536133,3.381371021270752,25.282428741455078,12.621407508850098,0.09839999675750732,0.10920000076293945,0.9016000032424927,0.8907999992370605,0.10779999941587448,0.11069999635219574
12,-0.030337810516357422,3.0960073471069336,22.816312789916992,7.936846733093262,0.09950000047683716,0.11069999635219574,0.9004999995231628,0.8893000036478043,0.10980000346899033,0.11240000277757645
13,-0.018575191497802734,4.8282389640808105,26.555885314941406,7.516489505767822,0.10199999809265137,0.11289999634027481,0.8980000019073486,0.8871000036597252,0.1031000018119812,0.11649999767541885
14,-0.0175018310546875,2.527893304824829,18.681350708007812,6.644498825073242,0.10779999941587448,0.10719999670982361,0.8922000005841255,0.8928000032901764,0.10740000009536743,0.11379999667406082
15,-0.011008024215698242,2.7084884643554688,18.458995819091797,5.07680082321167,0.10649999976158142,0.11110000312328339,0.8935000002384186,0.8888999968767166,0.10970000177621841,0.11100000143051147
16,-0.0050868988037109375,2.5468766689300537,17.641206741333008,4.466522216796875,0.10689999908208847,0.11429999768733978,0.8931000009179115,0.8857000023126602,0.10530000180006027,0.11429999768733978
17,-0.003269195556640625,2.1266186237335205,15.955732345581055,5.025206565856934,0.10689999908208847,0.11240000277757645,0.8931000009179115,0.8875999972224236,0.1088000014424324,0.11460000276565552
18,-0.004090547561645508,1.87158203125,14.994068145751953,4.353671073913574,0.10490000247955322,0.1143999993801117,0.8950999975204468,0.8856000006198883,0.10949999839067459,0.11209999769926071
19,-0.001550912857055664,1.7249082326889038,14.431244850158691,4.05446720123291,0.10769999772310257,0.11169999837875366,0.8923000022768974,0.8883000016212463,0.11299999803304672,0.11339999735355377
20,-0.0034263134002685547,2.4726171493530273,18.63271141052246,5.973400592803955,0.10540000349283218,0.11219999939203262,0.8945999965071678,0.8878000006079674,0.10989999771118164,0.1145000010728836
21,-0.000823974609375,2.0657832622528076,15.516538619995117,3.26706600189209,0.10769999772310257,0.1143999993801117,0.8923000022768974,0.8856000006198883,0.10980000346899033,0.11379999667406082
22,-0.00039076805114746094,1.5113983154296875,12.950770378112793,3.833669662475586,0.10920000076293945,0.11309999972581863,0.8907999992370605,0.8869000002741814,0.11180000007152557,0.11349999904632568
23,-0.00041484832763671875,2.0283470153808594,14.611905097961426,4.419671058654785,0.10970000177621841,0.11379999667406082,0.8902999982237816,0.8862000033259392,0.11410000175237656,0.1145000010728836
24,0.0005574226379394531,1.3539831638336182,11.966582298278809,3.4211299419403076,0.10920000076293945,0.11309999972581863,0.8907999992370605,0.8869000002741814,0.11330000311136246,0.11389999836683273
25,0.0003178119659423828,1.5649875402450562,11.566636085510254,2.9221549034118652,0.11110000312328339,0.11349999904632568,0.8888999968767166,0.8865000009536743,0.11249999701976776,0.1136000007390976
26,0.00017786026000976562,1.2346813678741455,10.906817436218262,2.8198280334472656,0.10740000009536743,0.1137000024318695,0.8925999999046326,0.8862999975681305,0.11420000344514847,0.11379999667406082
27,0.0016946792602539062,1.6103440523147583,11.809676170349121,2.824270248413086,0.11389999836683273,0.11339999735355377,0.8861000016331673,0.8866000026464462,0.11339999735355377,0.1136000007390976
28,0.0020918846130371094,1.1872339248657227,9.613064765930176,2.5671911239624023,0.11410000175237656,0.1137000024318695,0.8858999982476234,0.8862999975681305,0.11680000275373459,0.11339999735355377
29,0.001306295394897461,1.10894775390625,8.867643356323242,2.6164114475250244,0.11129999905824661,0.11349999904632568,0.8887000009417534,0.8865000009536743,0.1128000020980835,0.11379999667406082
30,0.0015735626220703125,1.2732003927230835,9.430708885192871,2.2726197242736816,0.11349999904632568,0.11349999904632568,0.8865000009536743,0.8865000009536743,0.11299999803304672,0.11339999735355377
31,0.001180410385131836,0.9908245801925659,7.658095836639404,1.9743404388427734,0.11159999668598175,0.11349999904632568,0.8884000033140182,0.8865000009536743,0.11060000211000443,0.11349999904632568
32,0.0007569789886474609,0.9627835750579834,6.591197967529297,1.8370141983032227,0.10980000346899033,0.11349999904632568,0.8901999965310097,0.8865000009536743,0.11339999735355377,0.11339999735355377
33,0.001947164535522461,0.9666739106178284,6.007600784301758,1.6305221319198608,0.11209999769926071,0.11349999904632568,0.8879000023007393,0.8865000009536743,0.11460000276565552,0.11349999904632568
34,0.0017158985137939453,1.5062332153320312,7.361947536468506,2.1280951499938965,0.11169999837875366,0.11349999904632568,0.8883000016212463,0.8865000009536743,0.11400000005960464,0.11349999904632568
35,0.0010368824005126953,0.8238622546195984,4.147984504699707,1.1431705951690674,0.11209999769926071,0.11349999904632568,0.8879000023007393,0.8865000009536743,0.11020000278949738,0.11349999904632568
