  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1  -0.56    26.53      80.62      44.36  0.1140     0.1241  0.8860     0.8759     0.1266         0.1315
      2  -0.25    17.80      80.64      55.65  0.1024     0.1113  0.8976     0.8887     0.1165         0.1277
      3  -0.49     8.98      49.80      33.68  0.1011     0.1074  0.8989     0.8926     0.1146         0.1183
      4  -0.22    10.33      48.97      36.89  0.1050     0.1088  0.8950     0.8912     0.1128         0.1080
      5  -0.38     6.19      39.78      27.28  0.1037     0.1039  0.8963     0.8961     0.1037         0.1098
      6  -0.23     5.97      35.34      21.46  0.1024     0.1060  0.8976     0.8940     0.1070         0.1063
      7  -0.13     5.28      34.66      19.41  0.1018     0.1047  0.8982     0.8953     0.1094         0.1160
      8  -0.11     4.93      31.39      15.53  0.1020     0.1026  0.8980     0.8974     0.1006         0.1048
      9  -0.09     3.87      28.03      12.87  0.1012     0.1024  0.8988     0.8976     0.0996         0.1078
     10  -0.04     6.12      34.69      15.28  0.0988     0.1069  0.9012     0.8931     0.1054         0.1075
     11  -0.07     3.38      25.28      12.62  0.0984     0.1092  0.9016     0.8908     0.1078         0.1107
     12  -0.03     3.10      22.82       7.94  0.0995     0.1107  0.9005     0.8893     0.1098         0.1124
     13  -0.02     4.83      26.56       7.52  0.1020     0.1129  0.8980     0.8871     0.1031         0.1165
     14  -0.02     2.53      18.68       6.64  0.1078     0.1072  0.8922     0.8928     0.1074         0.1138
     15  -0.01     2.71      18.46       5.08  0.1065     0.1111  0.8935     0.8889     0.1097         0.1110
     16  -0.01     2.55      17.64       4.47  0.1069     0.1143  0.8931     0.8857     0.1053         0.1143
     17  -0.00     2.13      15.96       5.03  0.1069     0.1124  0.8931     0.8876     0.1088         0.1146
     18  -0.00     1.87      14.99       4.35  0.1049     0.1144  0.8951     0.8856     0.1095         0.1121
     19  -0.00     1.72      14.43       4.05  0.1077     0.1117  0.8923     0.8883     0.1130         0.1134
     20  -0.00     2.47      18.63       5.97  0.1054     0.1122  0.8946     0.8878     0.1099         0.1145
     21  -0.00     2.07      15.52       3.27  0.1077     0.1144  0.8923     0.8856     0.1098         0.1138
     22  -0.00     1.51      12.95       3.83  0.1092     0.1131  0.8908     0.8869     0.1118         0.1135
     23  -0.00     2.03      14.61       4.42  0.1097     0.1138  0.8903     0.8862     0.1141         0.1145
     24   0.00     1.35      11.97       3.42  0.1092     0.1131  0.8908     0.8869     0.1133         0.1139
     25   0.00     1.56      11.57       2.92  0.1111     0.1135  0.8889     0.8865     0.1125         0.1136
     26   0.00     1.23      10.91       2.82  0.1074     0.1137  0.8926     0.8863     0.1142         0.1138
     27   0.00     1.61      11.81       2.82  0.1139     0.1134  0.8861     0.8866     0.1134         0.1136
     28   0.00     1.19       9.61       2.57  0.1141     0.1137  0.8859     0.8863     0.1168         0.1134
     29   0.00     1.11       8.87       2.62  0.1113     0.1135  0.8887     0.8865     0.1128         0.1138
     30   0.00     1.27       9.43       2.27  0.1135     0.1135  0.8865     0.8865     0.1130         0.1134
     31   0.00     0.99       7.66       1.97  0.1116     0.1135  0.8884     0.8865     0.1106         0.1135
     32   0.00     0.96       6.59       1.84  0.1098     0.1135  0.8902     0.8865     0.1134         0.1134
     33   0.00     0.97       6.01       1.63  0.1121     0.1135  0.8879     0.8865     0.1146         0.1135
     34   0.00     1.51       7.36       2.13  0.1117     0.1135  0.8883     0.8865     0.1140         0.1135
     35   0.00     0.82       4.15       1.14  0.1121     0.1135  0.8879     0.8865     0.1102         0.1135
     36   0.00     0.90       4.16       0.88  0.1130     0.1135  0.8870     0.8865     0.1118         0.1135
     37   0.00     0.75       3.91       0.83  0.1110     0.1135  0.8890     0.8865     0.1162         0.1135
     38   0.00     0.75       3.97       0.67  0.1117     0.1135  0.8883     0.8865     0.1119         0.1135
     39   0.00     0.76       3.78       0.60  0.1128     0.1135  0.8872     0.8865     0.1112         0.1135
     40   0.00     0.86       4.17       0.50  0.1129     0.1135  0.8871     0.8865     0.1135         0.1135
     41   0.00     0.68       3.45       0.46  0.1117     0.1135  0.8883     0.8865     0.1131         0.1135
     42   0.00     0.92       4.43       0.37  0.1139     0.1135  0.8861     0.8865     0.1092         0.1135
     43   0.00     0.58       3.22       0.37  0.1105     0.1135  0.8895     0.8865     0.1114         0.1135
     44   0.00     0.59       3.17       0.33  0.1094     0.1135  0.8906     0.8865     0.1145         0.1135
     45   0.00     0.85       3.85       0.28  0.1129     0.1135  0.8871     0.8865     0.1119         0.1135
     46   0.00     0.77       4.06       0.34  0.1112     0.1135  0.8888     0.8865     0.1157         0.1135
     47   0.00     0.56       3.08       0.29  0.1123     0.1135  0.8877     0.8865     0.1146         0.1135
     48   0.00     0.87       4.51       0.30  0.1138     0.1135  0.8862     0.8865     0.1132         0.1135
     49   0.00     0.50       2.81       0.21  0.1145     0.1135  0.8855     0.8865     0.1103         0.1135
     50   0.00     0.61       3.41       0.23  0.1126     0.1135  0.8874     0.8865     0.1126         0.1135
     51   0.00     0.43       2.68       0.17  0.1127     0.1135  0.8873     0.8865     0.1122         0.1135
     52   0.00     0.56       2.86       0.15  0.1128     0.1135  0.8872     0.8865     0.1119         0.1135
     53   0.00     0.42       2.56       0.14  0.1129     0.1135  0.8871     0.8865     0.1144         0.1135
     54   0.00     0.41       2.47       0.13  0.1134     0.1135  0.8866     0.8865     0.1144         0.1135
     55   0.00     0.59       3.16       0.13  0.1126     0.1135  0.8874     0.8865     0.1104         0.1135
     56   0.00     0.45       2.51       0.09  0.1109     0.1135  0.8891     0.8865     0.1131         0.1135
     57   0.00     0.47       2.51       0.11  0.1119     0.1135  0.8881     0.8865     0.1143         0.1135
     58   0.00     0.35       2.27       0.10  0.1128     0.1135  0.8872     0.8865     0.1136         0.1135
     59   0.00     0.32       2.13       0.07  0.1141     0.1135  0.8859     0.8865     0.1135         0.1135
     60   0.00     0.35       2.22       0.07  0.1123     0.1135  0.8877     0.8865     0.1131         0.1135
     61   0.00     0.37       2.25       0.07  0.1122     0.1135  0.8878     0.8865     0.1125         0.1135
     62   0.00     0.35       1.98       0.06  0.1123     0.1135  0.8877     0.8865     0.1133         0.1135
     63   0.00     0.34       2.15       0.05  0.1135     0.1135  0.8865     0.8865     0.1131         0.1135
     64   0.00     0.34       2.05       0.05  0.1116     0.1135  0.8884     0.8865     0.1113         0.1135
     65   0.00     0.45       2.17       0.04  0.1129     0.1135  0.8871     0.8865     0.1149         0.1135
     66   0.00     0.27       1.78       0.04  0.1125     0.1135  0.8875     0.8865     0.1114         0.1135
     67   0.00     0.44       2.21       0.04  0.1130     0.1135  0.8870     0.8865     0.1137         0.1135
     68   0.00     0.25       1.74       0.05  0.1128     0.1135  0.8872     0.8865     0.1140         0.1135
     69   0.00     0.26       1.73       0.03  0.1122     0.1135  0.8878     0.8865     0.1124         0.1135
     70   0.00     0.24       1.65       0.03  0.1124     0.1135  0.8876     0.8865     0.1144         0.1135
     71   0.00     0.23       1.63       0.03  0.1130     0.1135  0.8870     0.8865     0.1128         0.1135
     72   0.00     0.22       1.60       0.03  0.1137     0.1135  0.8863     0.8865     0.1137         0.1135
     73   0.00     0.30       1.89       0.02  0.1142     0.1135  0.8858     0.8865     0.1117         0.1135
     74   0.00     0.32       1.93       0.02  0.1138     0.1135  0.8862     0.8865     0.1131         0.1135
     75   0.00     0.26       1.54       0.02  0.1131     0.1135  0.8869     0.8865     0.1125         0.1135
     76   0.00     0.26       1.56       0.02  0.1131     0.1135  0.8869     0.8865     0.1142         0.1135
     77   0.00     0.23       1.49       0.02  0.1126     0.1135  0.8874     0.8865     0.1137         0.1135
     78   0.00     0.20       1.50       0.02  0.1139     0.1135  0.8861     0.8865     0.1121         0.1135
     79   0.00     0.21       1.42       0.01  0.1134     0.1135  0.8866     0.8865     0.1143         0.1135
     80   0.00     0.18       1.33       0.01  0.1136     0.1135  0.8864     0.8865     0.1137         0.1135
     81   0.00     0.16       1.28       0.01  0.1121     0.1135  0.8879     0.8865     0.1117         0.1135
     82   0.00     0.19       1.47       0.01  0.1138     0.1135  0.8862     0.8865     0.1136         0.1135
     83   0.00     0.17       1.28       0.01  0.1133     0.1135  0.8867     0.8865     0.1118         0.1135
     84   0.00     0.21       1.29       0.01  0.1133     0.1135  0.8867     0.8865     0.1137         0.1135
     85   0.00     0.17       1.32       0.01  0.1133     0.1135  0.8867     0.8865     0.1120         0.1135
     86   0.00     0.17       1.18       0.01  0.1143     0.1135  0.8857     0.8865     0.1138         0.1135
     87   0.00     0.16       1.20       0.01  0.1135     0.1135  0.8865     0.8865     0.1143         0.1135
     88   0.00     0.16       1.22       0.01  0.1143     0.1135  0.8857     0.8865     0.1119         0.1135
     89   0.00     0.16       1.18       0.01  0.1124     0.1135  0.8876     0.8865     0.1136         0.1135
     90   0.00     0.19       1.13       0.01  0.1130     0.1135  0.8870     0.8865     0.1133         0.1135
     91   0.00     0.15       1.10       0.01  0.1152     0.1135  0.8848     0.8865     0.1135         0.1135
     92   0.00     0.13       1.03       0.01  0.1143     0.1135  0.8857     0.8865     0.1128         0.1135
     93   0.00     0.14       1.06       0.01  0.1122     0.1135  0.8878     0.8865     0.1129         0.1135
     94   0.00     0.25       1.21       0.00  0.1153     0.1135  0.8847     0.8865     0.1132         0.1135
     95   0.00     0.20       1.16       0.00  0.1128     0.1135  0.8872     0.8865     0.1124         0.1135
     96   0.00     0.13       0.95       0.00  0.1137     0.1135  0.8863     0.8865     0.1129         0.1135
     97   0.00     0.13       0.98       0.00  0.1129     0.1135  0.8871     0.8865     0.1123         0.1135
     98   0.00     0.12       0.87       0.01  0.1139     0.1135  0.8861     0.8865     0.1137         0.1135
     99   0.00     0.11       0.87       0.00  0.1130     0.1135  0.8870     0.8865     0.1137         0.1135
