  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1  -0.55    30.81      86.06      45.22  0.1032     0.1062  0.8968     0.8938     0.1035         0.1025
      2  -0.51    14.01      62.15      36.59  0.1031     0.1030  0.8969     0.8970     0.1012         0.1068
      3  -0.51     9.59      49.19      31.54  0.0999     0.1028  0.9001     0.8972     0.1028         0.1067
      4  -0.41     8.56      42.03      27.38  0.1014     0.0997  0.8986     0.9003     0.1051         0.1032
      5  -0.07    19.11      86.44      67.81  0.0938     0.0964  0.9062     0.9036     0.1099         0.1065
      6  -0.35     6.01      35.38      26.53  0.1000     0.0993  0.9000     0.9007     0.1008         0.1076
      7  -0.22     5.20      31.46      18.50  0.1023     0.1025  0.8977     0.8975     0.1025         0.1082
      8  -0.13     4.58      27.63      11.77  0.0981     0.1065  0.9019     0.8935     0.1083         0.1141
      9  -0.12     4.48      28.30      14.51  0.1008     0.1050  0.8992     0.8950     0.1011         0.1136
     10  -0.07     3.56      23.32       8.16  0.0974     0.1025  0.9026     0.8975     0.1017         0.1062
     11  -0.06     3.66      25.04       9.75  0.0976     0.1058  0.9024     0.8942     0.1052         0.1105
     12  -0.03     3.97      21.63       6.45  0.0976     0.1109  0.9024     0.8891     0.1077         0.1082
     13  -0.02     3.33      20.56       5.66  0.1012     0.1065  0.8988     0.8935     0.1060         0.1157
     14  -0.01     3.36      20.35       4.73  0.1054     0.1120  0.8946     0.8880     0.1042         0.1136
     15  -0.02     3.15      19.09       7.13  0.1033     0.1076  0.8967     0.8924     0.1081         0.1103
     16  -0.01     2.90      18.58       5.75  0.1052     0.1130  0.8948     0.8870     0.1106         0.1129
     17  -0.01     2.84      14.86       3.24  0.1061     0.1117  0.8939     0.8883     0.1076         0.1140
     18  -0.00     2.23      13.66       3.34  0.1044     0.1121  0.8956     0.8879     0.1103         0.1131
     19   0.00     3.85      21.64       3.35  0.1064     0.1120  0.8936     0.8880     0.1088         0.1131
     20   0.00     3.49      20.45       2.97  0.1093     0.1142  0.8907     0.8858     0.1112         0.1132
     21  -0.00     2.74      15.40       3.67  0.1075     0.1125  0.8925     0.8875     0.1110         0.1139
     22   0.00     2.53      15.78       2.94  0.1093     0.1135  0.8907     0.8865     0.1126         0.1140
     23   0.00     2.72      13.83       2.86  0.1143     0.1137  0.8857     0.8863     0.1114         0.1137
