t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.1129050254821777,1384.6805419921875,832.796142578125,505.83782958984375,0.954200029373169,0.954200029373169,0.045799970626831055,0.045799970626831055,0.020400000736117363,0.02019999921321869
2,3.1639578342437744,1237.9656982421875,701.7568359375,429.2920837402344,0.9656000137329102,0.9657999873161316,0.034399986267089844,0.03420001268386841,0.017400000244379044,0.01730000041425228
3,3.168292284011841,1139.00048828125,640.1198120117188,389.5052490234375,0.9679999947547913,0.9677000045776367,0.03200000524520874,0.03229999542236328,0.01860000006854534,0.018799999728798866
4,3.161710500717163,1078.969482421875,569.8446655273438,363.8004150390625,0.965499997138977,0.9660999774932861,0.03450000286102295,0.03390002250671387,0.02290000021457672,0.02250000089406967
5,3.194002628326416,1011.668701171875,533.467041015625,345.08734130859375,0.9732999801635742,0.9731000065803528,0.02670001983642578,0.026899993419647217,0.03180000185966492,0.03229999914765358
6,3.2089693546295166,972.7894287109375,501.0828552246094,335.2486267089844,0.9758999943733215,0.9750999808311462,0.024100005626678467,0.02490001916885376,0.02810000069439411,0.0284000001847744
7,3.2117106914520264,978.7714233398438,473.34869384765625,310.51953125,0.9765999913215637,0.9775999784469604,0.02340000867843628,0.02240002155303955,0.03139999881386757,0.03189999982714653
8,3.189213752746582,975.5143432617188,466.53466796875,308.3077087402344,0.9745000004768372,0.9740999937057495,0.025499999523162842,0.02590000629425049,0.0568000003695488,0.05889999866485596
9,3.193936347961426,947.5806274414062,439.41650390625,292.4866638183594,0.9745000004768372,0.9750999808311462,0.025499999523162842,0.02490001916885376,0.05550000071525574,0.05920000001788139
10,3.218465805053711,859.3228149414062,406.4017333984375,286.10992431640625,0.9815000295639038,0.9814000129699707,0.01849997043609619,0.018599987030029297,0.09189999848604202,0.09650000184774399
11,3.1921565532684326,897.20751953125,449.06048583984375,286.2689208984375,0.9732999801635742,0.9736999869346619,0.02670001983642578,0.026300013065338135,0.04729999974370003,0.04749999940395355
12,3.2082738876342773,903.666015625,424.17950439453125,275.125732421875,0.9800999760627747,0.9800999760627747,0.019900023937225342,0.019900023937225342,0.0746999979019165,0.07859999686479568
13,3.215318441390991,827.3138427734375,389.32354736328125,270.0555419921875,0.9794999957084656,0.9796000123023987,0.020500004291534424,0.02039998769760132,0.07940000295639038,0.08370000123977661
