  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11  1384.68     832.80     505.84  0.9542     0.9542  0.0458     0.0458     0.0204         0.0202
      2   3.16  1237.97     701.76     429.29  0.9656     0.9658  0.0344     0.0342     0.0174         0.0173
      3   3.17  1139.00     640.12     389.51  0.9680     0.9677  0.0320     0.0323     0.0186         0.0188
      4   3.16  1078.97     569.84     363.80  0.9655     0.9661  0.0345     0.0339     0.0229         0.0225
      5   3.19  1011.67     533.47     345.09  0.9733     0.9731  0.0267     0.0269     0.0318         0.0323
      6   3.21   972.79     501.08     335.25  0.9759     0.9751  0.0241     0.0249     0.0281         0.0284
      7   3.21   978.77     473.35     310.52  0.9766     0.9776  0.0234     0.0224     0.0314         0.0319
      8   3.19   975.51     466.53     308.31  0.9745     0.9741  0.0255     0.0259     0.0568         0.0589
      9   3.19   947.58     439.42     292.49  0.9745     0.9751  0.0255     0.0249     0.0555         0.0592
     10   3.22   859.32     406.40     286.11  0.9815     0.9814  0.0185     0.0186     0.0919         0.0965
     11   3.19   897.21     449.06     286.27  0.9733     0.9737  0.0267     0.0263     0.0473         0.0475
     12   3.21   903.67     424.18     275.13  0.9801     0.9801  0.0199     0.0199     0.0747         0.0786
     13   3.22   827.31     389.32     270.06  0.9795     0.9796  0.0205     0.0204     0.0794         0.0837
     14   3.21   760.48     360.50     267.66  0.9801     0.9801  0.0199     0.0199     0.0929         0.0972
     15   3.21   752.74     345.09     257.74  0.9795     0.9799  0.0205     0.0201     0.1048         0.1146
     16   3.14   663.95     338.82     271.04  0.9705     0.9704  0.0295     0.0296     0.1580         0.1726
     17   3.18   727.91     391.70     252.51  0.9755     0.9754  0.0245     0.0246     0.1141         0.1186
     18   3.22   711.62     343.68     240.39  0.9818     0.9823  0.0182     0.0177     0.1221         0.1317
     19   3.22   585.60     300.05     235.24  0.9823     0.9819  0.0177     0.0181     0.1477         0.1637
     20   3.21   567.73     298.03     234.67  0.9810     0.9803  0.0190     0.0197     0.1533         0.1780
     21   3.21   526.86     312.09     240.87  0.9823     0.9828  0.0177     0.0172     0.1980         0.2214
     22   3.22   578.03     311.68     232.45  0.9845     0.9845  0.0155     0.0155     0.1736         0.1922
     23   3.19   653.26     335.04     228.94  0.9777     0.9773  0.0223     0.0227     0.1784         0.1983
     24   3.20   583.68     304.71     225.89  0.9786     0.9784  0.0214     0.0216     0.1750         0.1975
     25   3.18   610.94     339.85     222.08  0.9752     0.9755  0.0248     0.0245     0.1191         0.1314
     26   3.19   498.98     281.93     222.57  0.9810     0.9809  0.0190     0.0191     0.1635         0.1924
     27   3.21   466.01     274.50     218.79  0.9850     0.9850  0.0150     0.0150     0.2017         0.2389
     28   3.21   482.54     290.06     220.41  0.9830     0.9834  0.0170     0.0166     0.2042         0.2313
     29   3.15   537.02     294.60     215.50  0.9759     0.9760  0.0241     0.0240     0.1691         0.1893
     30   3.21   507.73     297.47     205.84  0.9827     0.9829  0.0173     0.0171     0.1733         0.1983
     31   3.22   447.11     270.53     200.12  0.9844     0.9846  0.0156     0.0154     0.1595         0.1814
     32   3.21   457.72     276.87     203.72  0.9823     0.9828  0.0177     0.0172     0.1369         0.1558
     33   3.22   395.69     271.05     195.01  0.9838     0.9840  0.0162     0.0160     0.1534         0.1732
     34   3.20   465.26     258.25     197.16  0.9821     0.9822  0.0179     0.0178     0.1775         0.2081
     35   3.20   431.72     264.95     195.14  0.9813     0.9812  0.0187     0.0188     0.1685         0.1926
     36   3.20   399.07     249.11     193.49  0.9831     0.9830  0.0169     0.0170     0.1559         0.1858
     37   3.20   406.17     261.90     192.24  0.9805     0.9806  0.0195     0.0194     0.1562         0.1830
     38   3.22   432.28     265.06     183.89  0.9851     0.9854  0.0149     0.0146     0.1803         0.2009
     39   3.20   372.29     246.19     194.35  0.9830     0.9830  0.0170     0.0170     0.1803         0.2181
     40   3.22   382.75     248.76     178.99  0.9847     0.9845  0.0153     0.0155     0.1740         0.2018
     41   3.21   437.65     259.41     179.08  0.9839     0.9839  0.0161     0.0161     0.1768         0.2018
     42   3.21   404.27     259.29     185.13  0.9822     0.9825  0.0178     0.0175     0.1431         0.1655
     43   3.22   350.74     235.10     174.99  0.9854     0.9853  0.0146     0.0147     0.1469         0.1731
     44   3.22   371.11     243.10     176.65  0.9860     0.9863  0.0140     0.0137     0.1663         0.1982
     45   3.21   355.66     233.25     173.07  0.9846     0.9844  0.0154     0.0156     0.1953         0.2264
     46   3.22   362.42     230.51     170.30  0.9848     0.9851  0.0152     0.0149     0.1592         0.1904
     47   3.22   376.28     236.07     168.76  0.9843     0.9844  0.0157     0.0156     0.1508         0.1705
     48   3.20   437.04     255.56     171.75  0.9820     0.9819  0.0180     0.0181     0.1465         0.1715
     49   3.20   316.13     227.95     171.26  0.9836     0.9838  0.0164     0.0162     0.1952         0.2245
     50   3.23   344.08     227.96     163.84  0.9861     0.9858  0.0139     0.0142     0.1568         0.1858
     51   3.21   345.36     220.60     167.05  0.9844     0.9842  0.0156     0.0158     0.1674         0.1979
     52   3.21   361.48     226.29     157.94  0.9850     0.9852  0.0150     0.0148     0.1448         0.1639
     53   3.20   388.82     225.34     161.76  0.9837     0.9835  0.0163     0.0165     0.1856         0.2125
