  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11  2161.44    1214.23     659.50  0.9536     0.9538  0.0464     0.0462     0.0245         0.0243
      2   3.16  2023.48    1116.94     637.86  0.9651     0.9655  0.0349     0.0345     0.0159         0.0159
      3   3.20  1966.30    1070.88     618.30  0.9736     0.9734  0.0264     0.0266     0.0148         0.0148
      4   3.19  1925.08    1028.64     601.18  0.9713     0.9717  0.0287     0.0283     0.0178         0.0179
      5   3.18  1883.97     991.12     589.31  0.9676     0.9674  0.0324     0.0326     0.0226         0.0226
      6   3.23  1868.82     968.35     573.44  0.9807     0.9806  0.0193     0.0194     0.0168         0.0168
      7   3.22  1828.07     934.58     566.86  0.9802     0.9800  0.0198     0.0200     0.0195         0.0194
      8   3.16  1806.08     903.30     566.44  0.9677     0.9681  0.0323     0.0319     0.0407         0.0409
      9   3.17  1801.39     892.43     540.27  0.9714     0.9717  0.0286     0.0283     0.0531         0.0532
     10   3.21  1781.99     869.78     529.28  0.9798     0.9795  0.0202     0.0205     0.0338         0.0339
     11   3.21  1760.30     842.60     518.73  0.9792     0.9792  0.0208     0.0208     0.0329         0.0333
     12   3.19  1750.14     834.65     499.35  0.9755     0.9756  0.0245     0.0244     0.0427         0.0428
     13   3.20  1735.84     811.17     491.11  0.9783     0.9784  0.0217     0.0216     0.0632         0.0640
     14   3.21  1691.74     779.19     487.53  0.9808     0.9806  0.0192     0.0194     0.0647         0.0647
     15   3.21  1672.70     764.54     479.31  0.9817     0.9816  0.0183     0.0184     0.0793         0.0783
     16   3.20  1672.50     763.16     465.36  0.9792     0.9791  0.0208     0.0209     0.0674         0.0684
     17   3.18  1644.17     738.39     464.84  0.9767     0.9767  0.0233     0.0233     0.0571         0.0569
     18   3.19  1600.48     705.90     460.62  0.9807     0.9803  0.0193     0.0197     0.0873         0.0873
     19   3.21  1573.73     695.91     446.23  0.9820     0.9820  0.0180     0.0180     0.0881         0.0878
     20   3.21  1561.93     679.49     441.64  0.9830     0.9832  0.0170     0.0168     0.1180         0.1180
     21   3.22  1574.10     683.21     431.46  0.9805     0.9806  0.0195     0.0194     0.0949         0.0946
     22   3.16  1554.41     663.15     424.79  0.9727     0.9729  0.0273     0.0271     0.1345         0.1344
     23   3.21  1543.43     658.32     421.08  0.9820     0.9820  0.0180     0.0180     0.1145         0.1159
     24   3.21  1499.94     632.31     413.64  0.9829     0.9827  0.0171     0.0173     0.1448         0.1449
     25   3.22  1502.19     619.77     410.29  0.9834     0.9833  0.0166     0.0167     0.1172         0.1174
     26   3.21  1461.11     582.57     408.03  0.9829     0.9827  0.0171     0.0173     0.1442         0.1439
     27   3.21  1462.67     597.06     401.71  0.9829     0.9828  0.0171     0.0172     0.1478         0.1491
     28   3.22  1456.69     587.21     399.41  0.9832     0.9834  0.0168     0.0166     0.1550         0.1545
     29   3.21  1407.30     574.50     387.33  0.9831     0.9830  0.0169     0.0170     0.1769         0.1784
