  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11  2418.69    1308.30     691.90  0.9539     0.9538  0.0461     0.0462     0.0184         0.0182
      2   3.18  2367.97    1278.30     707.81  0.9691     0.9692  0.0309     0.0308     0.0160         0.0161
      3   3.18  2339.33    1238.69     698.29  0.9696     0.9695  0.0304     0.0305     0.0148         0.0148
      4   3.21  2325.86    1243.05     723.62  0.9767     0.9771  0.0233     0.0229     0.0170         0.0170
      5   3.19  2315.33    1221.34     726.32  0.9713     0.9713  0.0287     0.0287     0.0292         0.0292
      6   3.17  2298.32    1203.49     719.83  0.9680     0.9681  0.0320     0.0319     0.0335         0.0338
      7   3.23  2294.44    1208.17     738.59  0.9801     0.9802  0.0199     0.0198     0.0492         0.0485
      8   3.19  2299.91    1197.96     741.26  0.9755     0.9752  0.0245     0.0248     0.0756         0.0750
      9   3.21  2297.81    1176.42     717.50  0.9767     0.9767  0.0233     0.0233     0.0736         0.0739
     10   3.21  2292.32    1178.99     720.28  0.9778     0.9773  0.0222     0.0227     0.0511         0.0509
     11   3.18  2293.29    1173.01     709.60  0.9753     0.9752  0.0247     0.0248     0.1052         0.1059
     12   3.21  2286.86    1165.12     707.61  0.9792     0.9791  0.0208     0.0209     0.0913         0.0923
     13   3.20  2277.43    1155.31     698.09  0.9754     0.9754  0.0246     0.0246     0.0800         0.0799
     14   3.20  2276.93    1153.38     720.76  0.9777     0.9776  0.0223     0.0224     0.1461         0.1459
     15   3.20  2269.47    1142.94     712.76  0.9797     0.9796  0.0203     0.0204     0.0981         0.0980
     16   3.23  2264.38    1135.45     722.03  0.9842     0.9843  0.0158     0.0157     0.1500         0.1498
     17   3.22  2256.71    1124.04     705.63  0.9823     0.9823  0.0177     0.0177     0.1537         0.1542
     18   3.18  2252.72    1113.56     689.33  0.9764     0.9763  0.0236     0.0237     0.1396         0.1396
     19   3.19  2245.03    1113.06     731.38  0.9776     0.9778  0.0224     0.0222     0.1709         0.1722
     20   3.21  2242.70    1101.65     694.53  0.9802     0.9803  0.0198     0.0197     0.1471         0.1474
     21   3.22  2239.43    1090.26     680.74  0.9816     0.9815  0.0184     0.0185     0.1798         0.1803
     22   3.17  2229.63    1084.75     712.20  0.9753     0.9753  0.0247     0.0247     0.2001         0.1998
     23   3.21  2230.28    1077.34     680.97  0.9830     0.9829  0.0170     0.0171     0.1551         0.1550
     24   3.16  2218.06    1073.65     698.66  0.9771     0.9771  0.0229     0.0229     0.2469         0.2474
     25   3.19  2213.95    1066.43     704.73  0.9805     0.9807  0.0195     0.0193     0.2346         0.2342
     26   3.18  2200.50    1062.35     697.98  0.9779     0.9778  0.0221     0.0222     0.2162         0.2166
     27   3.21  2194.78    1053.60     700.58  0.9818     0.9818  0.0182     0.0182     0.2151         0.2154
     28   3.22  2194.55    1048.42     666.64  0.9847     0.9848  0.0153     0.0152     0.2226         0.2225
     29   3.18  2189.38    1042.90     667.04  0.9800     0.9799  0.0200     0.0201     0.2232         0.2229
     30   3.20  2182.64    1038.25     661.48  0.9818     0.9816  0.0182     0.0184     0.2480         0.2487
     31   3.20  2177.81    1029.11     647.07  0.9819     0.9819  0.0181     0.0181     0.2226         0.2225
     32   3.21  2168.10    1016.27     647.58  0.9827     0.9827  0.0173     0.0173     0.2354         0.2352
     33   3.22  2160.87    1009.20     653.19  0.9843     0.9843  0.0157     0.0157     0.2648         0.2646
     34   3.22  2147.83    1002.68     675.40  0.9851     0.9849  0.0149     0.0151     0.2947         0.2953
     35   3.22  2143.62     991.60     646.16  0.9850     0.9850  0.0150     0.0150     0.2610         0.2600
     36   3.17  2139.75     991.03     629.80  0.9783     0.9785  0.0217     0.0215     0.2576         0.2582
     37   3.23  2133.06     984.21     633.08  0.9863     0.9862  0.0137     0.0138     0.2655         0.2658
     38   3.20  2122.31     979.62     646.81  0.9829     0.9829  0.0171     0.0171     0.3336         0.3344
     39   3.17  2114.42     965.33     640.49  0.9804     0.9804  0.0196     0.0196     0.3294         0.3287
     40   3.22  2112.19     961.68     625.13  0.9842     0.9842  0.0158     0.0158     0.3262         0.3264
     41   3.19  2097.94     957.34     640.49  0.9822     0.9822  0.0178     0.0178     0.3306         0.3303
     42   3.21  2091.97     947.02     628.90  0.9853     0.9853  0.0147     0.0147     0.2934         0.2934
     43   3.20  2084.25     940.24     624.53  0.9840     0.9840  0.0160     0.0160     0.3085         0.3079
     44   3.22  2076.31     936.08     616.77  0.9848     0.9848  0.0152     0.0152     0.3118         0.3129
     45   3.20  2063.03     926.23     639.97  0.9847     0.9848  0.0153     0.0152     0.3548         0.3567
     46   3.19  2065.95     927.81     608.88  0.9812     0.9815  0.0188     0.0185     0.3268         0.3269
     47   3.20  2052.75     917.57     602.06  0.9818     0.9820  0.0182     0.0180     0.3065         0.3065
     48   3.20  2049.93     914.45     606.33  0.9849     0.9846  0.0151     0.0154     0.3233         0.3235
     49   3.21  2046.68     907.37     597.75  0.9846     0.9846  0.0154     0.0154     0.3094         0.3099
     50   3.22  2031.12     899.17     607.81  0.9861     0.9859  0.0139     0.0141     0.3344         0.3369
     51   3.22  2019.23     888.84     632.14  0.9864     0.9864  0.0136     0.0136     0.3706         0.3705
     52   3.21  2002.08     873.36     630.63  0.9861     0.9860  0.0139     0.0140     0.3633         0.3632
     53   3.21  1980.15     853.68     626.12  0.9862     0.9859  0.0138     0.0141     0.3654         0.3660
     54   3.21  1950.57     826.95     615.43  0.9863     0.9863  0.0137     0.0137     0.3652         0.3647
