t,IZY,IXZ_1,IZ_1Z_2,IZ_2Z_3,acc,avg_acc,err,avg_err,adv_acc,avg_adv_acc
1,3.113800048828125,2430.91357421875,1333.51611328125,655.2964477539062,0.955299973487854,0.9556999802589417,0.044700026512145996,0.04430001974105835,0.02419999986886978,0.02410000003874302
2,3.1684610843658447,2412.361328125,1315.6441650390625,671.707275390625,0.9656999707221985,0.9656999707221985,0.034300029277801514,0.034300029277801514,0.020099999383091927,0.020099999383091927
3,3.181751251220703,2409.2392578125,1313.841796875,687.9569091796875,0.9678000211715698,0.9677000045776367,0.032199978828430176,0.03229999542236328,0.020899999886751175,0.020800000056624413
4,3.1821441650390625,2410.736328125,1303.41455078125,698.8663330078125,0.970300018787384,0.9699000120162964,0.029699981212615967,0.030099987983703613,0.020600000396370888,0.020600000396370888
5,3.215813636779785,2400.315185546875,1286.8062744140625,700.0104370117188,0.9778000116348267,0.9776999950408936,0.02219998836517334,0.022300004959106445,0.01850000023841858,0.01850000023841858
6,3.2173357009887695,2403.62060546875,1302.861572265625,728.9685668945312,0.9782999753952026,0.9782000184059143,0.021700024604797363,0.021799981594085693,0.04820000007748604,0.04820000007748604
7,3.199077844619751,2401.768798828125,1287.169677734375,718.0620727539062,0.9761000275611877,0.9761000275611877,0.023899972438812256,0.023899972438812256,0.04179999977350235,0.041600000113248825
8,3.1080663204193115,2404.5185546875,1271.4029541015625,706.0036010742188,0.9593999981880188,0.9593999981880188,0.0406000018119812,0.0406000018119812,0.0885000005364418,0.08829999715089798
9,3.2011380195617676,2410.44970703125,1291.6146240234375,747.4934692382812,0.9775999784469604,0.9776999950408936,0.02240002155303955,0.022300004959106445,0.08879999816417694,0.08829999715089798
10,3.188754081726074,2410.171875,1291.9884033203125,750.5326538085938,0.975600004196167,0.975600004196167,0.024399995803833008,0.024399995803833008,0.08699999749660492,0.08760000020265579
11,3.1872942447662354,2407.85888671875,1277.943115234375,737.4954223632812,0.9764000177383423,0.9764000177383423,0.023599982261657715,0.023599982261657715,0.08950000256299973,0.08980000019073486
12,3.1946027278900146,2404.96875,1272.4849853515625,743.1853637695312,0.9768000245094299,0.9768000245094299,0.02319997549057007,0.02319997549057007,0.09529999643564224,0.09589999914169312
13,3.1940596103668213,2402.30810546875,1282.4405517578125,773.1446533203125,0.9793000221252441,0.979200005531311,0.02069997787475586,0.020799994468688965,0.16590000689029694,0.16580000519752502
14,3.2221038341522217,2400.384765625,1269.544189453125,745.189697265625,0.9825000166893005,0.9825000166893005,0.017499983310699463,0.017499983310699463,0.09030000120401382,0.09070000052452087
15,3.1998703479766846,2405.1640625,1275.6527099609375,770.474609375,0.9793000221252441,0.9793999791145325,0.02069997787475586,0.02060002088546753,0.09690000116825104,0.09759999811649323
16,3.1291260719299316,2401.16552734375,1268.9527587890625,766.6251220703125,0.9706000089645386,0.9706000089645386,0.029399991035461426,0.029399991035461426,0.07590000331401825,0.07569999992847443
17,3.1951918601989746,2403.488525390625,1270.9185791015625,774.9957275390625,0.979200005531311,0.9793000221252441,0.020799994468688965,0.02069997787475586,0.1404000073671341,0.14139999449253082
18,3.1616172790527344,2402.8505859375,1270.1787109375,784.68359375,0.973800003528595,0.9735999703407288,0.02619999647140503,0.02640002965927124,0.14000000059604645,0.1404000073671341
19,3.1962294578552246,2406.90625,1269.7779541015625,794.99951171875,0.9799000024795532,0.9800000190734863,0.020099997520446777,0.019999980926513672,0.11309999972581863,0.11330000311136246
20,3.2114593982696533,2397.8662109375,1258.4913330078125,766.1906127929688,0.9822999835014343,0.982200026512146,0.017700016498565674,0.017799973487854004,0.1428000032901764,0.14249999821186066
21,3.2074995040893555,2401.22705078125,1265.4024658203125,786.0910034179688,0.9832000136375427,0.983299970626831,0.016799986362457275,0.016700029373168945,0.10260000079870224,0.10270000249147415
