  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.11  2430.91    1333.52     655.30  0.9553     0.9557  0.0447     0.0443     0.0242         0.0241
      2   3.17  2412.36    1315.64     671.71  0.9657     0.9657  0.0343     0.0343     0.0201         0.0201
      3   3.18  2409.24    1313.84     687.96  0.9678     0.9677  0.0322     0.0323     0.0209         0.0208
      4   3.18  2410.74    1303.41     698.87  0.9703     0.9699  0.0297     0.0301     0.0206         0.0206
      5   3.22  2400.32    1286.81     700.01  0.9778     0.9777  0.0222     0.0223     0.0185         0.0185
      6   3.22  2403.62    1302.86     728.97  0.9783     0.9782  0.0217     0.0218     0.0482         0.0482
      7   3.20  2401.77    1287.17     718.06  0.9761     0.9761  0.0239     0.0239     0.0418         0.0416
      8   3.11  2404.52    1271.40     706.00  0.9594     0.9594  0.0406     0.0406     0.0885         0.0883
      9   3.20  2410.45    1291.61     747.49  0.9776     0.9777  0.0224     0.0223     0.0888         0.0883
     10   3.19  2410.17    1291.99     750.53  0.9756     0.9756  0.0244     0.0244     0.0870         0.0876
     11   3.19  2407.86    1277.94     737.50  0.9764     0.9764  0.0236     0.0236     0.0895         0.0898
     12   3.19  2404.97    1272.48     743.19  0.9768     0.9768  0.0232     0.0232     0.0953         0.0959
     13   3.19  2402.31    1282.44     773.14  0.9793     0.9792  0.0207     0.0208     0.1659         0.1658
     14   3.22  2400.38    1269.54     745.19  0.9825     0.9825  0.0175     0.0175     0.0903         0.0907
     15   3.20  2405.16    1275.65     770.47  0.9793     0.9794  0.0207     0.0206     0.0969         0.0976
     16   3.13  2401.17    1268.95     766.63  0.9706     0.9706  0.0294     0.0294     0.0759         0.0757
     17   3.20  2403.49    1270.92     775.00  0.9792     0.9793  0.0208     0.0207     0.1404         0.1414
     18   3.16  2402.85    1270.18     784.68  0.9738     0.9736  0.0262     0.0264     0.1400         0.1404
     19   3.20  2406.91    1269.78     795.00  0.9799     0.9800  0.0201     0.0200     0.1131         0.1133
     20   3.21  2397.87    1258.49     766.19  0.9823     0.9822  0.0177     0.0178     0.1428         0.1425
     21   3.21  2401.23    1265.40     786.09  0.9832     0.9833  0.0168     0.0167     0.1026         0.1027
     22   3.20  2398.74    1260.36     767.32  0.9799     0.9799  0.0201     0.0201     0.1004         0.0992
     23   3.20  2402.91    1272.06     790.73  0.9813     0.9814  0.0187     0.0186     0.1490         0.1487
     24   3.21  2405.16    1269.56     782.18  0.9843     0.9844  0.0157     0.0156     0.1899         0.1908
     25   3.22  2399.08    1268.14     789.51  0.9851     0.9850  0.0149     0.0150     0.1671         0.1676
     26   3.18  2403.05    1262.15     774.09  0.9789     0.9790  0.0211     0.0210     0.1688         0.1692
     27   3.21  2407.15    1264.62     788.63  0.9828     0.9827  0.0172     0.0173     0.1299         0.1297
     28   3.21  2410.36    1264.68     791.30  0.9848     0.9849  0.0152     0.0151     0.1651         0.1653
     29   3.20  2411.24    1266.42     791.87  0.9823     0.9824  0.0177     0.0176     0.1644         0.1640
     30   3.18  2417.09    1276.92     805.07  0.9803     0.9802  0.0197     0.0198     0.2058         0.2057
     31   3.21  2411.37    1251.78     756.33  0.9816     0.9815  0.0184     0.0185     0.1651         0.1654
     32   3.18  2414.09    1266.45     799.65  0.9801     0.9802  0.0199     0.0198     0.1644         0.1646
     33   3.21  2412.23    1260.49     775.86  0.9823     0.9825  0.0177     0.0175     0.1556         0.1552
     34   3.21  2412.32    1278.69     839.28  0.9855     0.9856  0.0145     0.0144     0.2350         0.2348
     35   3.13  2416.13    1275.51     847.59  0.9744     0.9744  0.0256     0.0256     0.1730         0.1732
     36   3.19  2414.36    1273.16     825.85  0.9827     0.9828  0.0173     0.0172     0.2068         0.2065
     37   3.19  2415.36    1273.71     846.85  0.9840     0.9839  0.0160     0.0161     0.2174         0.2171
     38   3.13  2418.87    1264.85     803.65  0.9731     0.9732  0.0269     0.0268     0.1657         0.1658
     39   3.18  2416.92    1264.12     812.28  0.9826     0.9826  0.0174     0.0174     0.2574         0.2575
     40   3.21  2415.51    1261.59     814.00  0.9864     0.9864  0.0136     0.0136     0.2272         0.2267
     41   3.18  2411.93    1258.75     788.20  0.9817     0.9817  0.0183     0.0183     0.1987         0.1992
     42   3.21  2415.62    1263.28     812.67  0.9847     0.9848  0.0153     0.0152     0.2119         0.2125
     43   3.20  2416.42    1271.40     842.74  0.9854     0.9855  0.0146     0.0145     0.2293         0.2289
     44   3.20  2415.57    1274.60     861.49  0.9857     0.9857  0.0143     0.0143     0.2374         0.2381
     45   3.19  2413.77    1275.42     876.59  0.9857     0.9857  0.0143     0.0143     0.2381         0.2379
     46   3.19  2410.54    1273.87     889.19  0.9858     0.9858  0.0142     0.0142     0.2348         0.2349
     47   3.18  2405.56    1269.44     898.06  0.9857     0.9856  0.0143     0.0144     0.2335         0.2333
     48   3.18  2397.98    1260.94     902.57  0.9857     0.9857  0.0143     0.0143     0.2326         0.2330
     49   3.18  2386.64    1246.72     899.31  0.9857     0.9856  0.0143     0.0144     0.2354         0.2353
     50   3.18  2370.61    1225.45     888.02  0.9858     0.9858  0.0142     0.0142     0.2334         0.2331
     51   3.17  2349.21    1195.86     866.24  0.9859     0.9859  0.0141     0.0141     0.2312         0.2313
     52   3.17  2320.50    1155.14     832.27  0.9860     0.9858  0.0140     0.0142     0.2285         0.2286
     53   3.17  2283.74    1102.49     789.03  0.9857     0.9859  0.0143     0.0141     0.2329         0.2336
     54   3.17  2235.56    1034.34     740.25  0.9858     0.9858  0.0142     0.0142     0.2375         0.2377
     55   3.17  2174.16     949.82     691.25  0.9859     0.9860  0.0141     0.0140     0.2539         0.2559
     56   3.17  2093.86     846.17     646.03  0.9860     0.9862  0.0140     0.0138     0.2746         0.2753
     57   3.16  1980.13     726.03     614.93  0.9863     0.9857  0.0137     0.0143     0.2873         0.2865
     58   3.16  1799.80     597.00     595.55  0.9864     0.9863  0.0136     0.0137     0.3040         0.3026
     59   3.22  1863.34     664.81     428.51  0.9839     0.9840  0.0161     0.0160     0.1885         0.1883
     60   3.20  1832.78     628.17     442.93  0.9848     0.9848  0.0152     0.0152     0.2467         0.2464
     61   3.18  1833.49     617.85     454.41  0.9821     0.9822  0.0179     0.0178     0.2675         0.2671
     62   3.20  1830.89     615.70     464.56  0.9849     0.9850  0.0151     0.0150     0.2662         0.2681
     63   3.20  1828.40     612.12     472.58  0.9864     0.9865  0.0136     0.0135     0.3043         0.3030
     64   3.20  1823.03     603.51     483.33  0.9869     0.9868  0.0131     0.0132     0.3079         0.3080
     65   3.20  1817.39     599.20     491.75  0.9868     0.9867  0.0132     0.0133     0.3177         0.3183
     66   3.19  1811.14     594.13     500.11  0.9870     0.9869  0.0130     0.0131     0.3211         0.3220
     67   3.19  1804.23     589.17     507.35  0.9869     0.9870  0.0131     0.0130     0.3264         0.3271
     68   3.19  1795.26     583.47     516.34  0.9871     0.9871  0.0129     0.0129     0.3298         0.3305
     69   3.18  1786.19     578.55     524.86  0.9872     0.9870  0.0128     0.0130     0.3193         0.3206
     70   3.18  1774.17     572.61     532.66  0.9868     0.9868  0.0132     0.0132     0.3284         0.3293
     71   3.18  1759.25     566.10     539.86  0.9869     0.9871  0.0131     0.0129     0.3326         0.3328
     72   3.18  1738.50     557.85     546.49  0.9872     0.9871  0.0128     0.0129     0.3328         0.3330
     73   3.17  1710.02     548.41     553.14  0.9874     0.9874  0.0126     0.0126     0.3397         0.3403
     74   3.17  1669.40     536.75     558.75  0.9869     0.9870  0.0131     0.0130     0.3422         0.3454
     75   3.17  1598.09     520.47     568.71  0.9869     0.9869  0.0131     0.0131     0.3500         0.3504
     76   3.16  1479.57     500.88     578.20  0.9868     0.9869  0.0132     0.0131     0.3516         0.3506
     77   2.96  1517.35     527.74     452.67  0.9656     0.9655  0.0344     0.0345     0.2391         0.2405
     78   3.19  1635.57     575.00     447.79  0.9855     0.9857  0.0145     0.0143     0.2905         0.2912
     79   3.19  1619.75     564.04     452.00  0.9857     0.9859  0.0143     0.0141     0.2933         0.2926
     80   3.19  1607.31     557.15     461.45  0.9864     0.9863  0.0136     0.0137     0.3258         0.3270
     81   3.19  1596.19     551.89     470.05  0.9866     0.9865  0.0134     0.0135     0.3347         0.3358
     82   3.18  1584.61     546.79     479.02  0.9858     0.9858  0.0142     0.0142     0.3420         0.3418
     83   3.18  1573.21     542.22     488.16  0.9860     0.9862  0.0140     0.0138     0.3517         0.3521
     84   3.18  1561.64     537.60     495.47  0.9864     0.9864  0.0136     0.0136     0.3541         0.3539
     85   3.17  1546.54     533.14     507.58  0.9860     0.9860  0.0140     0.0140     0.3579         0.3581
     86   3.17  1527.82     528.04     517.03  0.9861     0.9862  0.0139     0.0138     0.3539         0.3544
     87   3.17  1508.22     523.23     526.22  0.9865     0.9862  0.0135     0.0138     0.3657         0.3678
     88   3.16  1482.95     517.33     534.44  0.9863     0.9862  0.0137     0.0138     0.3617         0.3633
     89   3.16  1449.24     509.80     540.88  0.9860     0.9862  0.0140     0.0138     0.3640         0.3647
     90   3.16  1404.23     502.09     548.23  0.9864     0.9865  0.0136     0.0135     0.3646         0.3649
     91   3.16  1339.24     493.10     554.64  0.9864     0.9864  0.0136     0.0136     0.3656         0.3649
     92   3.16  1254.99     481.81     555.83  0.9862     0.9862  0.0138     0.0138     0.3612         0.3614
     93   3.13  1422.61     540.65     451.50  0.9785     0.9784  0.0215     0.0216     0.2595         0.2588
     94   3.18  1453.89     526.67     448.32  0.9836     0.9837  0.0164     0.0163     0.3224         0.3232
     95   3.18  1446.54     531.28     454.16  0.9854     0.9854  0.0146     0.0146     0.2919         0.2927
     96   3.18  1448.64     530.65     465.56  0.9852     0.9852  0.0148     0.0148     0.3050         0.3062
     97   3.18  1444.18     525.93     469.04  0.9853     0.9855  0.0147     0.0145     0.3118         0.3125
     98   3.18  1438.75     523.14     473.69  0.9858     0.9857  0.0142     0.0143     0.3247         0.3260
     99   3.18  1432.93     520.63     478.24  0.9855     0.9855  0.0145     0.0145     0.3299         0.3329
    100   3.17  1426.16     518.37     483.28  0.9854     0.9853  0.0146     0.0147     0.3259         0.3268
    101   3.18  1418.74     516.01     489.35  0.9852     0.9852  0.0148     0.0148     0.3307         0.3331
    102   3.17  1410.63     513.41     495.06  0.9852     0.9852  0.0148     0.0148     0.3393         0.3414
    103   3.17  1400.79     510.51     500.67  0.9850     0.9852  0.0150     0.0148     0.3379         0.3410
    104   3.17  1389.12     507.60     507.09  0.9857     0.9858  0.0143     0.0142     0.3420         0.3428
    105   3.17  1375.48     504.33     512.36  0.9856     0.9857  0.0144     0.0143     0.3482         0.3484
    106   3.17  1358.12     500.77     518.77  0.9857     0.9858  0.0143     0.0142     0.3454         0.3470
    107   3.17  1339.48     497.43     521.43  0.9860     0.9859  0.0140     0.0141     0.3438         0.3425
    108   3.17  1312.69     491.64     524.04  0.9856     0.9857  0.0144     0.0143     0.3431         0.3439
    109   3.17  1448.50     525.74     468.56  0.9837     0.9836  0.0163     0.0164     0.2638         0.2631
    110   3.19  1452.05     520.47     473.77  0.9850     0.9850  0.0150     0.0150     0.2641         0.2648
    111   3.19  1447.84     518.31     478.81  0.9853     0.9852  0.0147     0.0148     0.2741         0.2745
    112   3.18  1443.96     516.99     482.83  0.9855     0.9854  0.0145     0.0146     0.2770         0.2790
    113   3.18  1439.68     515.67     487.50  0.9848     0.9849  0.0152     0.0151     0.2755         0.2742
    114   3.18  1435.99     514.58     491.63  0.9848     0.9847  0.0152     0.0153     0.2728         0.2720
    115   3.18  1431.04     512.66     497.29  0.9853     0.9853  0.0147     0.0147     0.2794         0.2797
    116   3.17  1425.77     513.76     500.93  0.9852     0.9851  0.0148     0.0149     0.3147         0.3147
    117   3.15  1467.29     525.86     455.78  0.9829     0.9830  0.0171     0.0170     0.2507         0.2513
    118   3.16  1462.69     524.24     469.47  0.9844     0.9846  0.0156     0.0154     0.2600         0.2623
    119   3.17  1457.35     521.08     473.30  0.9850     0.9851  0.0150     0.0149     0.2835         0.2836
    120   3.17  1448.13     517.98     478.82  0.9851     0.9851  0.0149     0.0149     0.2808         0.2813
    121   3.17  1444.58     516.54     481.90  0.9851     0.9852  0.0149     0.0148     0.2828         0.2829
    122   3.17  1440.00     515.13     485.41  0.9850     0.9853  0.0150     0.0147     0.2865         0.2877
    123   3.17  1434.80     513.11     488.95  0.9851     0.9851  0.0149     0.0149     0.2895         0.2902
    124   3.16  1428.38     511.06     493.47  0.9852     0.9854  0.0148     0.0146     0.2971         0.2982
    125   3.17  1420.29     508.84     498.84  0.9853     0.9854  0.0147     0.0146     0.3017         0.3025
    126   3.16  1410.28     506.29     504.95  0.9856     0.9855  0.0144     0.0145     0.3043         0.3060
    127   3.16  1398.35     503.47     508.67  0.9857     0.9854  0.0143     0.0146     0.3075         0.3092
