  epoch    IZY    IXZ_1    IZ_1Z_2    IZ_2Z_3     acc    avg_acc     err    avg_err    adv_acc    avg_adv_acc
-------  -----  -------  ---------  ---------  ------  ---------  ------  ---------  ---------  -------------
      1   3.10  2465.40    1361.26     703.08  0.9508     0.9504  0.0492     0.0496     0.0223         0.0224
      2   3.17  2429.18    1333.09     710.66  0.9648     0.9649  0.0352     0.0351     0.0182         0.0182
      3   3.21  2418.47    1322.34     725.98  0.9750     0.9748  0.0250     0.0252     0.0151         0.0152
      4   3.18  2401.86    1282.60     710.45  0.9689     0.9688  0.0311     0.0312     0.0177         0.0177
      5   3.20  2406.73    1301.28     743.17  0.9742     0.9744  0.0258     0.0256     0.0235         0.0236
      6   3.21  2401.31    1281.26     737.51  0.9748     0.9747  0.0252     0.0253     0.0257         0.0258
      7   3.21  2408.39    1291.28     749.36  0.9777     0.9775  0.0223     0.0225     0.0260         0.0258
      8   3.20  2398.07    1292.96     753.02  0.9771     0.9770  0.0229     0.0230     0.0505         0.0504
      9   3.20  2404.79    1306.05     789.68  0.9789     0.9789  0.0211     0.0211     0.0640         0.0641
     10   3.22  2395.89    1288.93     763.28  0.9800     0.9800  0.0200     0.0200     0.0550         0.0550
     11   3.22  2397.56    1307.06     797.20  0.9821     0.9824  0.0179     0.0176     0.0839         0.0838
     12   3.21  2403.17    1295.86     775.74  0.9791     0.9792  0.0209     0.0208     0.0650         0.0647
     13   3.21  2400.21    1295.80     777.51  0.9794     0.9795  0.0206     0.0205     0.0593         0.0597
     14   3.21  2405.02    1300.36     795.89  0.9813     0.9812  0.0187     0.0188     0.0838         0.0840
     15   3.21  2401.13    1289.26     768.77  0.9789     0.9790  0.0211     0.0210     0.0761         0.0762
     16   3.23  2406.18    1316.88     816.66  0.9828     0.9828  0.0172     0.0172     0.0788         0.0790
     17   3.20  2409.60    1308.56     811.15  0.9802     0.9802  0.0198     0.0198     0.1375         0.1374
     18   3.21  2418.72    1321.82     849.41  0.9819     0.9819  0.0181     0.0181     0.1561         0.1561
     19   3.08  2415.63    1311.09     812.04  0.9658     0.9659  0.0342     0.0341     0.1171         0.1170
